Character,Pīnyīn,English,shared_by,ch_tag,eng_tag
剎,chà,land; realm; world (Skt. kṣetra),刹,普門品,pumen_pin
闇,àn,darkness; gloom; obscurity,岸,普門品,pumen_pin
戒,jiè,precepts; moral discipline (Skt. śīla),界,普門品,pumen_pin
業,yè,deeds; karma; action,"頁, 夜, 葉",普門品,pumen_pin
渡,dù,to ferry across; to cross over; to deliver,"度, 土",普門品,pumen_pin
賽,sài,to rival; to match; to vie with,,普門品,pumen_pin
楊枝,yáng zhī,willow branch; the willow branch used to sprinkle purifying water,,普門品,pumen_pin
淨水,jìng shuǐ,pure water; clear water that is sprinkled,,普門品,pumen_pin
三千,sān qiān,three thousand; the three-thousand-great-thousand worlds (cosmos),,普門品,pumen_pin
性空,xìng kōng,nature is empty; the emptiness of inherent nature,,普門品,pumen_pin
八德,bā dé,eight virtues; the eight meritorious qualities (of pure water),,普門品,pumen_pin
人天,rén tiān,humans and gods; the human and heavenly realms,,普門品,pumen_pin
增延,zēng yán,to increase and extend; to be augmented greatly (of blessings and lifespan),,普門品,pumen_pin
滅罪,miè zuì,to eradicate offenses; to wipe away sins,,普門品,pumen_pin
火燄,huǒ yàn,flames; blazing fire,,普門品,pumen_pin
紅蓮,hóng lián,red lotus; red lotus flower,,普門品,pumen_pin
南無,ná mó,homage to; I take refuge in (Skt. namo),,普門品,pumen_pin
菩薩,pú sà,Bodhisattva; an enlightening being,,普門品,pumen_pin
本師,běn shī,Fundamental Teacher; the Original Teacher (Śākyamuni),,普門品,pumen_pin
無上,wú shàng,unsurpassed; supreme; highest,,普門品,pumen_pin
甚深,shèn shēn,profound; very deep; deeply profound,,普門品,pumen_pin
微妙,wéi miào,subtle and wonderful; subtly marvelous,,普門品,pumen_pin
妙法,miào fǎ,wonderful Dharma; the wondrous Dharma,,普門品,pumen_pin
見聞,jiàn wén,to see and hear; seeing and hearing,,普門品,pumen_pin
受持,shòu chí,to receive and uphold; to accept and maintain (the teaching),,普門品,pumen_pin
如來,rú lái,Thus Come One; the Tathāgata,,普門品,pumen_pin
蓮華,lián huá,lotus flower; lotus blossom,,普門品,pumen_pin
普門,pǔ mén,Universal Door; the all-pervading gateway (through which the Bodhisattva responds),,普門品,pumen_pin
爾時,ěr shí,at that time; then,,普門品,pumen_pin
右肩,yòu jiān,right shoulder,,普門品,pumen_pin
合掌,hé zhǎng,to join the palms together; to press the palms in reverence (Skt. añjali),,普門品,pumen_pin
向佛,xiàng fó,facing the Buddha; turning toward the Buddha,,普門品,pumen_pin
世尊,shì zūn,World Honored One; the World-Honored One (Skt. Bhagavān),,普門品,pumen_pin
因緣,yīn yuán,causes and conditions; causal conditions (Skt. hetu-pratyaya),,普門品,pumen_pin
若有,ruò yǒu,if there are; supposing there are,,普門品,pumen_pin
無量,wú liàng,limitless; immeasurable; countless,,普門品,pumen_pin
眾生,zhòng shēng,living beings; sentient beings (Skt. sattva),,普門品,pumen_pin
苦惱,kǔ nǎo,suffering; misery and affliction; distress,,普門品,pumen_pin
一心,yì xīn,single-mindedly; with all one's heart; one-pointedly,,普門品,pumen_pin
稱名,chēng míng,to recite the name; to call out the name,,普門品,pumen_pin
即時,jí shí,immediately; at once; right away,,普門品,pumen_pin
音聲,yīn shēng,sounds; voices,,普門品,pumen_pin
解脫,jiě tuō,liberation; deliverance; release (Skt. vimokṣa/mokṣa),,普門品,pumen_pin
名者,míng zhě,the name (of); one who holds the name,,普門品,pumen_pin
大火,dà huǒ,a great fire; a large blaze,,普門品,pumen_pin
由是,yóu shì,because of this; for this reason,,普門品,pumen_pin
神力,shén lì,spiritual power; numinous might; divine power,,普門品,pumen_pin
大水,dà shuǐ,great waters; the great sea/flood,,普門品,pumen_pin
所漂,suǒ piāo,being tossed about; carried adrift,,普門品,pumen_pin
名號,míng hào,name; title; the name-and-title (of a Buddha/Bodhisattva),,普門品,pumen_pin
得淺,dé qiǎn,to reach a shallow place; to find shallows,,普門品,pumen_pin
琉璃,liú lí,lapis lazuli; beryl (a precious gem),,普門品,pumen_pin
硨磲,chē qú,mother-of-pearl; giant clam shell (tridacna),,普門品,pumen_pin
瑪瑙,mǎ nǎo,carnelian; agate,,普門品,pumen_pin
珊瑚,shān hú,coral,,普門品,pumen_pin
琥珀,hǔ pò,amber,,普門品,pumen_pin
真珠,zhēn zhū,pearls; genuine pearls,,普門品,pumen_pin
等寶,děng bǎo,and other treasures; such precious things,,普門品,pumen_pin
大海,dà hǎi,the great sea; the ocean,,普門品,pumen_pin
黑風,hēi fēng,a black wind; an evil/violent gale,,普門品,pumen_pin
船舫,chuán fǎng,boats; ships and vessels,,普門品,pumen_pin
羅剎,luó chà,rakshasa; a flesh-eating demon (Skt. rākṣasa),,普門品,pumen_pin
鬼國,guǐ guó,land of ghosts; the territory of demons,,普門品,pumen_pin
其中,qí zhōng,among them; within it,,普門品,pumen_pin
乃至,nǎi zhì,even; down to; or even (just),,普門品,pumen_pin
一人,yì rén,one person; a single person,,普門品,pumen_pin
刀杖,dāo zhàng,knives and staves; blades and clubs (weapons),,普門品,pumen_pin
段段,duàn duàn,piece by piece; into segments,,普門品,pumen_pin
國土,guó tǔ,land; country; realm; world,,普門品,pumen_pin
滿中,mǎn zhōng,filling it; filled throughout with,,普門品,pumen_pin
夜叉,yè chā,yaksha; a kind of spirit/demon (Skt. yakṣa),,普門品,pumen_pin
欲來,yù lái,wishing to come; about to come,,普門品,pumen_pin
惱人,nǎo rén,to torment people; to vex others,,普門品,pumen_pin
惡眼,è yǎn,evil eyes; malicious gaze,,普門品,pumen_pin
況復,kuàng fù,how much less; let alone; still less,,普門品,pumen_pin
加害,jiā hài,to inflict harm; to do injury,,普門品,pumen_pin
無罪,wú zuì,innocent; guiltless; without offense,,普門品,pumen_pin
檢繫,jiǎn xì,to bind and restrain; to fetter and tie up,,普門品,pumen_pin
其身,qí shēn,his body; their person,,普門品,pumen_pin
惡鬼,è guǐ,evil ghosts; malicious demons,,普門品,pumen_pin
皆悉,jiē xī,all; entirely; every one,,普門品,pumen_pin
斷壞,duàn huài,to break apart; to snap and fall away,,普門品,pumen_pin
怨賊,yuàn zéi,vicious bandits; hateful robbers,,普門品,pumen_pin
商主,shāng zhǔ,merchant chief; the leader of a caravan,,普門品,pumen_pin
商人,shāng rén,merchants; traders,,普門品,pumen_pin
齎持,jī chí,carrying; bearing (goods),,普門品,pumen_pin
重寶,zhòng bǎo,costly treasures; weighty/precious jewels,,普門品,pumen_pin
經過,jīng guò,to pass through; to traverse,,普門品,pumen_pin
險路,xiǎn lù,a dangerous road; a perilous route,,普門品,pumen_pin
唱言,chàng yán,to cry out; to call out; to proclaim,,普門品,pumen_pin
諸善,zhū shàn,good men; all you good people,,普門品,pumen_pin
勿得,wù dé,do not; must not,,普門品,pumen_pin
恐怖,kǒng bù,fear; terror; to be afraid,,普門品,pumen_pin
汝等,rǔ děng,you all; all of you,,普門品,pumen_pin
應當,yīng dāng,should; ought to,,普門品,pumen_pin
無畏,wú wèi,fearlessness; the gift of fearlessness (Skt. abhaya),,普門品,pumen_pin
發聲,fā shēng,to raise one's voice; to call out,,普門品,pumen_pin
如是,rú shì,such; like this; thus,,普門品,pumen_pin
巍巍,wēi wēi,lofty and sublime; towering and majestic,,普門品,pumen_pin
淫欲,yín yù,sexual desire; lust,,普門品,pumen_pin
恭敬,gōng jìng,reverently; with respect; to revere,,普門品,pumen_pin
便得,biàn dé,will then; thereupon attains,,普門品,pumen_pin
離欲,lí yù,to be free from desire; separated from craving,,普門品,pumen_pin
瞋恚,chēn huì,hatred; anger; ill-will (Skt. dveṣa),,普門品,pumen_pin
離瞋,lí chēn,to be free from hatred; separated from anger,,普門品,pumen_pin
愚癡,yú chī,stupidity; delusion; folly (Skt. moha),,普門品,pumen_pin
離癡,lí chī,to be free from stupidity; separated from delusion,,普門品,pumen_pin
饒益,ráo yì,to benefit; to enrich; benefit,,普門品,pumen_pin
心念,xīn niàn,to keep in mind; mindful thought; to think upon,,普門品,pumen_pin
女人,nǚ rén,woman; women,,普門品,pumen_pin
設欲,shè yù,supposing one wishes; if one desires,,普門品,pumen_pin
求男,qiú nán,to seek a son; wishing for a male child,,普門品,pumen_pin
禮拜,lǐ bài,to bow; to make obeisance; to worship,,普門品,pumen_pin
供養,gòng yàng,to make offerings; to make offerings to (Skt. pūjā),,普門品,pumen_pin
便生,biàn shēng,will give birth to; will then bear,,普門品,pumen_pin
福德,fú dé,blessings and virtue; merit and virtue (Skt. puṇya),,普門品,pumen_pin
端正,duān zhèng,upright; proper and handsome; well-formed,,普門品,pumen_pin
德本,dé běn,roots of virtue; the foundation of merit,,普門品,pumen_pin
眾人,zhòng rén,everyone; the multitude; all people,,普門品,pumen_pin
愛敬,ài jìng,to be loved and respected; cherished and revered,,普門品,pumen_pin
恆河,héng hé,the Ganges River (Skt. Gaṅgā),,普門品,pumen_pin
名字,míng zì,name; the names (of),,普門品,pumen_pin
盡形,jìn xíng,for one's whole life; to the end of one's life,,普門品,pumen_pin
飲食,yǐn shí,food and drink,,普門品,pumen_pin
衣服,yī fú,clothing; garments,,普門品,pumen_pin
臥具,wò jù,bedding; sleeping things,,普門品,pumen_pin
醫藥,yī yào,medicine; medical remedies,,普門品,pumen_pin
功德,gōng dé,merit and virtue; meritorious quality (Skt. guṇa),,普門品,pumen_pin
多否,duō fǒu,great or not?; much or not?,,普門品,pumen_pin
甚多,shèn duō,very great; very much; exceedingly many,,普門品,pumen_pin
無異,wú yì,no different; without difference,,普門品,pumen_pin
云何,yún hé,how?; in what way?,,普門品,pumen_pin
娑婆,suō pó,Saha; the Sahā world (our world of endurance),,普門品,pumen_pin
世界,shì jiè,world; world-system,,普門品,pumen_pin
說法,shuō fǎ,to speak the Dharma; to teach the Dharma,,普門品,pumen_pin
方便,fāng biàn,expedient means; skillful means (Skt. upāya),,普門品,pumen_pin
其事,qí shì,this matter; that work,,普門品,pumen_pin
應以,yīng yǐ,if (one) must be (saved) by; should by means of,,普門品,pumen_pin
佛身,fó shēn,the body of a Buddha; a Buddha-form,,普門品,pumen_pin
得度,dé dù,to be saved; to be liberated; to be ferried across,,普門品,pumen_pin
聲聞,shēng wén,Hearer; a disciple who hears the teaching (Skt. śrāvaka),,普門品,pumen_pin
梵王,fàn wáng,Brahma King; the god Brahmā,,普門品,pumen_pin
帝釋,dì shì,Shakra; lord of the gods (Skt. Śakra / Indra),,普門品,pumen_pin
自在,zì zài,sovereign; self-mastery; unimpeded; the God of Sovereignty (Skt. Īśvara),,普門品,pumen_pin
將軍,jiāng jūn,general; military commander,,普門品,pumen_pin
天身,tiān shēn,the body of a god; a heavenly form,,普門品,pumen_pin
小王,xiǎo wáng,minor king; a petty king,,普門品,pumen_pin
長者,zhǎng zhě,Elder; a respected householder of standing (Skt. gṛhapati),,普門品,pumen_pin
居士,jū shì,layman; a lay devotee/householder (Skt. upāsaka/gṛhastha),,普門品,pumen_pin
宰官,zǎi guān,minister of state; a government official,,普門品,pumen_pin
比丘,bǐ qiū,Bhikshu; a fully ordained monk (Skt. bhikṣu),,普門品,pumen_pin
婦女,fù nǚ,wife; woman; married woman,,普門品,pumen_pin
童男,tóng nán,pure youth; a young boy/lad,,普門品,pumen_pin
童女,tóng nǚ,pure maiden; a young girl,,普門品,pumen_pin
天龍,tiān lóng,gods and dragons; devas and nāgas,,普門品,pumen_pin
非人,fēi rén,nonhuman; not human (beings),,普門品,pumen_pin
成就,chéng jiù,to accomplish; to perfect; accomplishment,,普門品,pumen_pin
種種,zhǒng zhǒng,all kinds of; various; manifold,,普門品,pumen_pin
金剛,jīn gāng,vajra; diamond/adamant; thunderbolt,,普門品,pumen_pin
度脫,dù tuō,to save and liberate; to ferry across to deliverance,,普門品,pumen_pin
是故,shì gù,therefore; for this reason,,普門品,pumen_pin
怖畏,bù wèi,fear; terror; dread,,普門品,pumen_pin
急難,jí nàn,crisis; urgent peril; emergency and hardship,,普門品,pumen_pin
瓔珞,yīng luò,necklace; a jeweled ornament/garland (Skt. keyūra/hāra),,普門品,pumen_pin
價值,jià zhí,worth; value; priced at,,普門品,pumen_pin
仁者,rén zhě,Humane One; O kind one (a respectful address),,普門品,pumen_pin
法施,fǎ shī,gift of Dharma; the offering of Dharma (Skt. dharma-dāna),,普門品,pumen_pin
珍寶,zhēn bǎo,precious jewels; treasures,,普門品,pumen_pin
四眾,sì zhòng,"the fourfold assembly; the four groups of disciples (monks, nuns, laymen, laywomen)",,普門品,pumen_pin
一分,yì fēn,one portion; one part,,普門品,pumen_pin
佛子,fó zǐ,disciple of the Buddha; child of the Buddha,,普門品,pumen_pin
妙相,miào xiàng,wondrous marks; the excellent bodily features (of a Buddha),,普門品,pumen_pin
重問,chóng wèn,to ask again; to inquire once more,,普門品,pumen_pin
具足,jù zú,complete with; fully endowed; perfectly possessing,,普門品,pumen_pin
弘誓,hóng shì,vast vows; great vows,,普門品,pumen_pin
汝聽,rǔ tīng,listen!; you should hear,,普門品,pumen_pin
觀音,guān yīn,Guanyin; the Bodhisattva Avalokiteśvara,,普門品,pumen_pin
善應,shàn yìng,skillfully responds; aptly answers,,普門品,pumen_pin
清淨,qīng jìng,pure; clean; undefiled,,普門品,pumen_pin
歷劫,lì jié,throughout the eons; spanning kalpas,,普門品,pumen_pin
略說,lüè shuō,to tell in brief; to explain concisely,,普門品,pumen_pin
聞名,wén míng,to hear his name; hearing the name,,普門品,pumen_pin
見身,jiàn shēn,to see him; beholding his person,,普門品,pumen_pin
能滅,néng miè,can extinguish; able to wipe away,,普門品,pumen_pin
諸有,zhū yǒu,all realms of existence; the various states of being (Skt. bhava),,普門品,pumen_pin
假使,jiǎ shǐ,suppose; if; even if,,普門品,pumen_pin
害意,hài yì,harmful intent; malicious intention,,普門品,pumen_pin
推落,tuī luò,to push (someone) down; to shove off,,普門品,pumen_pin
火坑,huǒ kēng,pit of fire; a fiery pit,,普門品,pumen_pin
漂流,piāo liú,to be cast adrift; to drift on the water,,普門品,pumen_pin
巨海,jù hǎi,the mighty ocean; the vast sea,,普門品,pumen_pin
波浪,bō làng,waves; billows,,普門品,pumen_pin
須彌,xū mí,Mount Sumeru; the world-axis mountain,,普門品,pumen_pin
虛空,xū kōng,empty space; the open sky; the void (Skt. ākāśa),,普門品,pumen_pin
惡人,è rén,evil people; wicked persons,,普門品,pumen_pin
一毛,yì máo,a single hair; the slightest bit,,普門品,pumen_pin
慈心,cí xīn,a heart of kindness; loving-mind; compassion (Skt. maitrī),,普門品,pumen_pin
王難,wáng nàn,trouble with the law; peril from the king/state,,普門品,pumen_pin
臨刑,lín xíng,on the verge of execution; about to be put to death,,普門品,pumen_pin
壽終,shòu zhōng,end of life; one's life coming to a close,,普門品,pumen_pin
囚禁,qiú jìn,imprisoned; confined; held in custody,,普門品,pumen_pin
枷鎖,jiā suǒ,cangue and chains; fetters and locks,,普門品,pumen_pin
手足,shǒu zú,hands and feet,,普門品,pumen_pin
釋然,shì rán,released; loosened; coming undone,,普門品,pumen_pin
咒詛,zhòu zǔ,mantras and curses; spells and hexes,,普門品,pumen_pin
毒藥,dú yào,poison; toxic drug,,普門品,pumen_pin
本人,běn rén,the originator; the sender; the person themselves,,普門品,pumen_pin
毒龍,dú lóng,poisonous dragons; venomous nāgas,,普門品,pumen_pin
諸鬼,zhū guǐ,ghosts; the various demons,,普門品,pumen_pin
惡獸,è shòu,vicious beasts; savage animals,,普門品,pumen_pin
圍繞,wéi rào,to surround; to encircle; to ring round,,普門品,pumen_pin
可怖,kě bù,terrifying; dreadful; fearsome,,普門品,pumen_pin
尋聲,xún shēng,at the sound (of his name); following the voice,,普門品,pumen_pin
迴去,huí qù,to turn back; to go away; to retreat,,普門品,pumen_pin
蚖蛇,yuán shé,vipers and snakes; venomous serpents,,普門品,pumen_pin
蝮蠍,fù xiē,adders and scorpions; vipers and scorpions,,普門品,pumen_pin
疾走,jí zǒu,to flee swiftly; to run off quickly,,普門品,pumen_pin
世間,shì jiān,the world; the mundane world (Skt. loka),,普門品,pumen_pin
困厄,kùn è,hardship; distress; adversity,,普門品,pumen_pin
大雨,dà yǔ,heavy rain; a great downpour,,普門品,pumen_pin
應時,yìng shí,in due time; immediately; right then,,普門品,pumen_pin
消散,xiāo sàn,to disperse; to scatter and clear away,,普門品,pumen_pin
惡趣,è qù,evil destinies; bad rebirth-paths (Skt. durgati),,普門品,pumen_pin
地獄,dì yù,the hells; hell realms (Skt. naraka),,普門品,pumen_pin
畜生,chù shēng,animals; the animal realm (Skt. tiryak),,普門品,pumen_pin
十方,shí fāng,the ten directions; everywhere,,普門品,pumen_pin
神通,shén tōng,spiritual penetration; supernatural power (Skt. abhijñā),,普門品,pumen_pin
廣修,guǎng xiū,to cultivate extensively; to widely practice,,普門品,pumen_pin
能伏,néng fú,able to subdue; can quell,,普門品,pumen_pin
無垢,wú gòu,undefiled; stainless; without impurity (Skt. vimala),,普門品,pumen_pin
慧日,huì rì,sun of wisdom; the wisdom-sun,,普門品,pumen_pin
悲觀,bēi guān,Compassionate Contemplator; contemplation of compassion (Skt. karuṇā),,普門品,pumen_pin
慈觀,cí guān,Kind Contemplator; contemplation of loving-kindness (Skt. maitrī),,普門品,pumen_pin
瞻仰,zhān yǎng,to look up in reverence; to gaze up with veneration,,普門品,pumen_pin
真觀,zhēn guān,True Contemplator; true contemplation,,普門品,pumen_pin
智慧,zhì huì,wisdom; insight (Skt. prajñā),,普門品,pumen_pin
諍訟,zhēng sòng,contention and lawsuits; disputes and litigation,,普門品,pumen_pin
軍陣,jūn zhèn,battle array; military ranks,,普門品,pumen_pin
退散,tuì sàn,to scatter and retreat; to disperse,,普門品,pumen_pin
妙音,miào yīn,wondrous sound; marvelous voice,,普門品,pumen_pin
梵音,fàn yīn,Brahma-sound; the pure voice of Brahmā (Skt. brahma-svara),,普門品,pumen_pin
大雲,dà yún,a great cloud; the vast cloud (of compassion),,普門品,pumen_pin
甘露,gān lù,sweet dew; ambrosia; nectar (Skt. amṛta),,普門品,pumen_pin
法雨,fǎ yǔ,the rain of Dharma; Dharma-rain,,普門品,pumen_pin
煩惱,fán nǎo,afflictions; defilements; mental disturbances (Skt. kleśa),,普門品,pumen_pin
死厄,sǐ è,the peril of death; mortal danger,,普門品,pumen_pin
依怙,yī hù,refuge and reliance; support and protector,,普門品,pumen_pin
念念,niàn niàn,in thought after thought; moment after moment,,普門品,pumen_pin
淨聖,jìng shèng,Pure Sage; the pure and holy one,,普門品,pumen_pin
持地,chí dì,Guardian of the Earth; upholder of the earth,,普門品,pumen_pin
福聚,fú jù,accumulation of blessings; a gathering of merit,,普門品,pumen_pin
慈眼,cí yǎn,kind eyes; compassionate gaze,,普門品,pumen_pin
頂禮,dǐng lǐ,to bow the head in worship; to prostrate in reverence (Skt. to pay homage),,普門品,pumen_pin
示現,shì xiàn,to manifest; to display; to reveal,,普門品,pumen_pin
大士,dà shì,Great Knight; great being; an epithet for a bodhisattva (Skt. mahāsattva),,普門品,pumen_pin
圓通,yuán tōng,Perfect Penetration; complete and unobstructed comprehension,,普門品,pumen_pin
苦海,kǔ hǎi,the sea of suffering; the ocean of misery,,普門品,pumen_pin
迷津,mí jīn,the ford of delusion; the crossing of confusion,,普門品,pumen_pin
南海,nán hǎi,the Southern Sea; the southern ocean (abode of Guanyin),,普門品,pumen_pin
慈悲,cí bēi,kindness and compassion; loving-compassion (Skt. maitrī-karuṇā),,普門品,pumen_pin
喜捨,xǐ shě,joyful giving; sympathetic joy and equanimity (Skt. muditā-upekṣā),,普門品,pumen_pin
平等,píng děng,equanimity; impartiality; evenness (Skt. samatā),,普門品,pumen_pin
楊柳,yáng liǔ,willow; willow branch,,普門品,pumen_pin
邪魔,xié mó,deviant demons; evil spirits (Skt. māra),,普門品,pumen_pin
妖怪,yāo guài,monsters; uncanny apparitions; goblins,,普門品,pumen_pin
危險,wéi xiǎn,crises and dangers; perils and risks,,普門品,pumen_pin
法船,fǎ chuán,Dharma ship; the vessel of the teaching that ferries beings across,,普門品,pumen_pin
南巖,nán yán,the Southern Cave; the southern grotto,,普門品,pumen_pin
三途,sān tú,"the three evil paths; the three lower destinies (hells, ghosts, animals)",,普門品,pumen_pin
端嚴,duān yán,upright and dignified; well-formed; majestic,,普門品,pumen_pin
無比,wú bǐ,incomparable; beyond compare; unequaled,,普門品,pumen_pin
境界,jìng jiè,state; realm; sphere (of attainment) (Skt. viṣaya/gocara),,普門品,pumen_pin
彌陀,mí tuó,Amitā; Amitābha,,普門品,pumen_pin
受記,shòu jì,to receive a prediction; the conferral of a prophecy of Buddhahood (Skt. vyākaraṇa),,普門品,pumen_pin
幢幡,chuáng fān,banners and pennants; ceremonial streamers (Skt. dhvaja-patākā),,普門品,pumen_pin
寶蓋,bǎo gài,jeweled canopy; a precious parasol (Skt. ratna-chattra),,普門品,pumen_pin
西方,xī fāng,the Western Land; the Western Pure Land (of Amitābha),,普門品,pumen_pin
莊嚴,zhuāng yán,adornment; dignified array; majesty (Skt. vyūha/alaṃkāra),,普門品,pumen_pin
浩浩,hào hào,vast; boundless; immense (of the sea),,普門品,pumen_pin
秋月,qiū yuè,autumn moon,,普門品,pumen_pin
眉頭,méi tóu,the brow; the space between the eyebrows,,普門品,pumen_pin
繞念,rào niàn,to recite while circumambulating; chanting and walking around,,普門品,pumen_pin
清涼地,qīng liáng dì,"the Clear Cool Ground; the cool, pure ground (an epithet/abode of bodhisattvas)",,普門品,pumen_pin
摩訶薩,mó hē sà,Mahāsattva; a great being,,普門品,pumen_pin
開經偈,kāi jīng jì,Verse for Opening a Sutra; the gāthā recited before reading scripture,,普門品,pumen_pin
