chinese,pinyin,english_def,ch_tag,eng_tag
到,dào,at,大回向,GreatTransference
蓮,lián,lotus,大回向,GreatTransference
池,chí,pool,大回向,GreatTransference
華,huā,flowers,大回向,GreatTransference
開,kāi,open,大回向,GreatTransference
後,hòu,when,大回向,GreatTransference
見,jiàn,see,大回向,GreatTransference
慈,cí,Buddha,大回向,GreatTransference
尊,zūn,Buddha,大回向,GreatTransference
親,qīn,drawing near,大回向,GreatTransference
聽,tīng,hear,大回向,GreatTransference
法,fǎ,Dharma,大回向,GreatTransference
音,yīn,sounds,大回向,GreatTransference
可,kě,with,大回向,GreatTransference
了,liǎo,clear,大回向,GreatTransference
聞,wén,hear,大回向,GreatTransference
已,yǐ,already,大回向,GreatTransference
即,jí,awaken to,大回向,GreatTransference
悟,wù,awaken to,大回向,GreatTransference
生,shēng,production,大回向,GreatTransference
忍,rěn,patience,大回向,GreatTransference
不,bù,not,大回向,GreatTransference
違,wéi,leaving,大回向,GreatTransference
安,ān,peace,大回向,GreatTransference
養,yǎng,peace,大回向,GreatTransference
入,rù,enter,大回向,GreatTransference
娑,suō,Saha,大回向,GreatTransference
婆,pó,World,大回向,GreatTransference
善,shàn,skill in,大回向,GreatTransference
知,zhī,know,大回向,GreatTransference
方,fāng,means,大回向,GreatTransference
便,biàn,means,大回向,GreatTransference
度,dù,teach,大回向,GreatTransference
眾,zhòng,living,大回向,GreatTransference
生,shēng,beings,大回向,GreatTransference
巧,qiǎo,work,大回向,GreatTransference
把,bǎ,within,大回向,GreatTransference
塵,chén,dust,大回向,GreatTransference
勞,láo,wearisome,大回向,GreatTransference
為,wéi,do,大回向,GreatTransference
佛,fó,Buddha's,大回向,GreatTransference
事,shì,work,大回向,GreatTransference
如,rú,these,大回向,GreatTransference
斯,sī,these,大回向,GreatTransference
自,zì,know,大回向,GreatTransference
知,zhī,know,大回向,GreatTransference
畢,bì,finally,大回向,GreatTransference
竟,jìng,finally,大回向,GreatTransference
當,dāng,当,大回向,GreatTransference
來,lái,will,大回向,GreatTransference
得,dé,realize,大回向,GreatTransference
成,chéng,realize,大回向,GreatTransference
就,jiù,Buddhahood,大回向,GreatTransference
心,xīn,mind,大回向,GreatTransference
頂,dǐng,bow to,大回向,GreatTransference
禮,lǐ,bow to,大回向,GreatTransference
宏,hóng,propagates,大回向,GreatTransference
揚,yáng,propagates,大回向,GreatTransference
淨,jìng,pure,大回向,GreatTransference
樂,lè,blissful,大回向,GreatTransference
土,tǔ,land,大回向,GreatTransference
釋,shì,Shakya,大回向,GreatTransference
迦,jiā,Shakya,大回向,GreatTransference
如,rú,Thus,大回向,GreatTransference
來,lái,Come One,大回向,GreatTransference
千,qiān,thousand,大回向,GreatTransference
百,bǎi,hundred,大回向,GreatTransference
億,yì,kotis,大回向,GreatTransference
化,huà,transformation,大回向,GreatTransference
身,shēn,bodies,大回向,GreatTransference
遍,biàn,pervade,大回向,GreatTransference
法,fǎ,Dharma,大回向,GreatTransference
界,jiè,realm,大回向,GreatTransference
諸,zhū,all,大回向,GreatTransference
常,cháng,eternal,大回向,GreatTransference
寂,jì,still,大回向,GreatTransference
光,guāng,bright,大回向,GreatTransference
阿,ā,Amitabha,大回向,GreatTransference
彌,mí,Amitabha,大回向,GreatTransference
陀,tuó,Amitabha,大回向,GreatTransference
清,qīng,pure,大回向,GreatTransference
妙,miào,wonderful,大回向,GreatTransference
實,shí,real,大回向,GreatTransference
報,bào,rewards,大回向,GreatTransference
莊,zhuāng,adorned,大回向,GreatTransference
嚴,yán,adorned,大回向,GreatTransference
微,wēi,myriad,大回向,GreatTransference
塵,chén,myriad,大回向,GreatTransference
相,xiàng,hallmarks,大回向,GreatTransference
海,hǎi,sea,大回向,GreatTransference
便,biàn,expedient,大回向,GreatTransference
聖,shèng,sagely,大回向,GreatTransference
居,jū,dwelling,大回向,GreatTransference
解,jiě,liberation,大回向,GreatTransference
脫,tuō,liberation,大回向,GreatTransference
西,xī,western,大回向,GreatTransference
方,fāng,western,大回向,GreatTransference
安,ān,peace,大回向,GreatTransference
大,dà,great,大回向,GreatTransference
乘,shèng,vehicle,大回向,GreatTransference
根,gēn,founded upon,大回向,GreatTransference
界,jiè,founded upon,大回向,GreatTransference
十,shí,all,大回向,GreatTransference
方,fāng,directions,大回向,GreatTransference
化,huà,transforming,大回向,GreatTransference
往,wǎng,transforming,大回向,GreatTransference
教,jiào,teachings,大回向,GreatTransference
行,hèng,practices,大回向,GreatTransference
理,lǐ,principles,大回向,GreatTransference
三,sān,three,大回向,GreatTransference
經,jīng,sutras,大回向,GreatTransference
及,jí,to,大回向,GreatTransference
依,yī,proclamation,大回向,GreatTransference
正,zhèng,proclamation,大回向,GreatTransference
宣,xuān,propagation,大回向,GreatTransference
揚,yáng,propagation,大回向,GreatTransference
尊,zūn,honored,大回向,GreatTransference
萬,wàn,myriad,大回向,GreatTransference
億,yì,kotis,大回向,GreatTransference
紫,zǐ,purple,大回向,GreatTransference
金,jīn,golden,大回向,GreatTransference
菩,pú,bodhisattvas,大回向,GreatTransference
薩,sà,bodhisattvas,大回向,GreatTransference
摩,mó,mahasattvas,大回向,GreatTransference
訶,hē,mahasattvas,大回向,GreatTransference
勢,shì,strength,大回向,GreatTransference
至,zhì,strength,大回向,GreatTransference
無,wú,boundless,大回向,GreatTransference
邊,biān,boundless,大回向,GreatTransference
光,guāng,blazing light,大回向,GreatTransference
熾,chì,blazing light,大回向,GreatTransference
滿,mǎn,complete,大回向,GreatTransference
分,fēn,complete,大回向,GreatTransference
二,èr,two,大回向,GreatTransference
嚴,yán,adornments,大回向,GreatTransference
聖,shèng,sages,大回向,GreatTransference
眾,zhòng,assembly,大回向,GreatTransference
極,jí,ultimate,大回向,GreatTransference
樂,lè,bliss,大回向,GreatTransference
世,shì,world; land,大回向,GreatTransference
界,jiè,world; land,大回向,GreatTransference
慈,cí,kindness,大回向,GreatTransference
悲,bēi,compassion,大回向,GreatTransference
願,yuàn,vows,大回向,GreatTransference
力,lì,power,大回向,GreatTransference
接,jiē,guide,大回向,GreatTransference
引,yǐn,guide,大回向,GreatTransference
導,dǎo,master,大回向,GreatTransference
師,shī,master,大回向,GreatTransference
觀,guān,Guan,大回向,GreatTransference
世,shì,shi,大回向,GreatTransference
音,yīn,yin,大回向,GreatTransference
清,qīng,pure,大回向,GreatTransference
大,dà,great,大回向,GreatTransference
海,hǎi,sea,大回向,GreatTransference
臨終,lín zhōng,death comes,大回向,GreatTransference
障礙,zhàng ài,obstructions,大回向,GreatTransference
相迎,xiāng yíng,welcome us,大回向,GreatTransference
觀音,guān yīn,Guanyin,大回向,GreatTransference
甘露,gān lù,sweet dew,大回向,GreatTransference
勢至,shì zhì,Great Strength,大回向,GreatTransference
金臺,jīn tái,golden dias,大回向,GreatTransference
安我足,ān wǒ zú,place beneath our feet,大回向,GreatTransference
一剎那,yī chà nà,in an instant,大回向,GreatTransference
五濁,wǔ zhuó,five turbidities,大回向,GreatTransference
蓮池,lián chí,lotus pool,大回向,GreatTransference
蓮華,lián huā,flowers,大回向,GreatTransference
開後,kāi hòu,open,大回向,GreatTransference
慈尊,cí zūn,Buddha,大回向,GreatTransference
親聽,qīn tīng,drawing near hear,大回向,GreatTransference
法音,fǎ yīn,sounds of dharma,大回向,GreatTransference
了了,liǎo liǎo,clear understanding,大回向,GreatTransference
無生忍,wú shēng rěn,patience with non-production,大回向,GreatTransference
不違,bù wéi,not leaving,大回向,GreatTransference
安養,ān yǎng,peace,大回向,GreatTransference
娑婆,suō pó,Saha World,大回向,GreatTransference
方便,fāng biàn,skill in means,大回向,GreatTransference
眾生,zhòng shēng,living beings,大回向,GreatTransference
塵勞,chén láo,wearisome dust,大回向,GreatTransference
佛事,fó shì,Buddha's work,大回向,GreatTransference
自知,zì zhī,know of,大回向,GreatTransference
畢竟,bì jìng,finally,大回向,GreatTransference
成就,chéng jiù,realize Buddhahood,大回向,GreatTransference
一心,yī xīn,singlemindedly,大回向,GreatTransference
頂禮,dǐng lǐ,bow to,大回向,GreatTransference
宏揚,hóng yáng,propagates,大回向,GreatTransference
樂土,lè dù,blissful land,大回向,GreatTransference
化身,huà shēn,transformation bodies,大回向,GreatTransference
法界,fǎ jiè,dharma realm,大回向,GreatTransference
諸佛,zhū fó,all Buddhas,大回向,GreatTransference
寂光,jì guāng,still and bright,大回向,GreatTransference
淨土,jìng dù,pure land,大回向,GreatTransference
法身,fǎ shēn,dharma-body,大回向,GreatTransference
實報,shí bào,real rewards,大回向,GreatTransference
莊嚴,zhuāng yán,adorned,大回向,GreatTransference
方便,fāng biàn,expedient means,大回向,GreatTransference
聖居,shèng jū,sagely dwelling,大回向,GreatTransference
解脫,jiě tuō,liberation,大回向,GreatTransference
西方,xī fāng,western,大回向,GreatTransference
安樂,ān lè,peace and bliss,大回向,GreatTransference
大乘,dà shèng,great vehicle,大回向,GreatTransference
十方,shí fāng,all directions,大回向,GreatTransference
三經,sān jīng,three sutras,大回向,GreatTransference
宣揚,xuān yáng,proclamation and propagation,大回向,GreatTransference
尊法,zūn fǎ,honored dharma,大回向,GreatTransference
萬億,wàn yì,myriad kotis,大回向,GreatTransference
紫金,zǐ jīn,purple-golden,大回向,GreatTransference
菩薩,pú sà,bodhisattvas,大回向,GreatTransference
摩訶薩,mó hē sà,mahasattvas,大回向,GreatTransference
大勢至,dà shì zhì,Great Strength,大回向,GreatTransference
無邊,wú biān,boundless,大回向,GreatTransference
光熾,guāng chì,blazing light,大回向,GreatTransference
清淨,qīng jìng,pure,大回向,GreatTransference
大海眾,dà hǎi zhòng,sea-vast assembly,大回向,GreatTransference
滿分,mǎn fēn,complete with,大回向,GreatTransference
二嚴,èr yán,two adornments,大回向,GreatTransference
聖眾,shèng zhòng,assembly of sages,大回向,GreatTransference
西方,xī fāng,western,大回向,GreatTransference
極樂,jí lè,ultimate bliss,大回向,GreatTransference
世界,shì jiè,land,大回向,GreatTransference
大慈,dà cí,great kindness,大回向,GreatTransference
大悲,dà bēi,great compassion,大回向,GreatTransference
大願,dà yuàn,great vows,大回向,GreatTransference
大力,dà lì,great power,大回向,GreatTransference
接引,jiē yǐn,guide,大回向,GreatTransference
導師,dǎo shī,master,大回向,GreatTransference
觀世音,guān shì yīn,Guanshiyin,大回向,GreatTransference
阿彌陀佛,ā mí tuó fó,Amitabha Buddha,大回向,GreatTransference
釋迦如來,shì jiā rú lái,Shakya-Thus-Come-One,大回向,GreatTransference
阿彌陀如來,ā mí tuó rú lái,Amitabha-Thus-Come-One,大回向,GreatTransference
