chinese,pinyin,english_def,ch_tag,eng_tag,frequency
色,sè,form; color,禮佛懺悔,88Bud,1
身,shēn,body; bodies,禮佛懺悔,88Bud,7
不,bù,un-; not,禮佛懺悔,88Bud,5
動,dòng,unmoving; moving,禮佛懺悔,88Bud,1
智,zhì,wisdom; knowledge,禮佛懺悔,88Bud,6
降,xiáng,subduing; subdue,禮佛懺悔,88Bud,1
伏,fú,subduing; subdue,禮佛懺悔,88Bud,1
魔,mó,demon; māra,禮佛懺悔,88Bud,1
才,cái,gifted; talent,禮佛懺悔,88Bud,2
仙,xiān,immortal,禮佛懺悔,88Bud,1
寂,jí,stilled; silence,禮佛懺悔,88Bud,1
月,yuè,moon,禮佛懺悔,88Bud,5
音,yīn,sound; voice,禮佛懺悔,88Bud,4
妙,miào,wonderful; wondrous; subtle,禮佛懺悔,88Bud,6
龍,lóng,dragon,禮佛懺悔,88Bud,2
種,zhǒng,kind; seed; species,禮佛懺悔,88Bud,1
日,rì,sun,禮佛懺悔,88Bud,2
珠,zhū,pearl; jewel,禮佛懺悔,88Bud,1
子,zǐ,lion's (in 師子); son,禮佛懺悔,88Bud,2
吼,hǒu,roar,禮佛懺悔,88Bud,1
常,cháng,eternal; always,禮佛懺悔,88Bud,3
觀,guān,contemplate; observe,禮佛懺悔,88Bud,1
威,wēi,awesome; majesty,禮佛懺悔,88Bud,2
殊,shū,rare; special,禮佛懺悔,88Bud,1
量,liàng,measure; immeasurable; infinite,禮佛懺悔,88Bud,5
聲,shēng,sound; voice,禮佛懺悔,88Bud,2
山,shān,mountain,禮佛懺悔,88Bud,1
通,tōng,penetrations; mastery,禮佛懺悔,88Bud,4
滿,mǎn,replete; full,禮佛懺悔,88Bud,2
壞,huài,indestructible (in 不壞); destroy,禮佛懺悔,88Bud,1
軍,jūn,army,禮佛懺悔,88Bud,1
火,huǒ,fire,禮佛懺悔,88Bud,1
愚,yú,delusion; foolish,禮佛懺悔,88Bud,1
垢,gòu,defilement; impurity,禮佛懺悔,88Bud,2
離,lí,apart from; leave,禮佛懺悔,88Bud,1
施,shī,giving; give; bestow,禮佛懺悔,88Bud,4
清,qīng,pure; purity,禮佛懺悔,88Bud,3
水,shuǐ,water,禮佛懺悔,88Bud,1
堅,jiān,firm; solid,禮佛懺悔,88Bud,1
功,gōng,merit,禮佛懺悔,88Bud,12
掬,jū,handful,禮佛懺悔,88Bud,1
憂,yōu,worry; sorrow,禮佛懺悔,88Bud,1
蓮,lián,lotus,禮佛懺悔,88Bud,2
遊,yóu,roaming; traveling,禮佛懺悔,88Bud,4
戲,xì,play; sport,禮佛懺悔,88Bud,1
神,shén,spiritual; divine,禮佛懺悔,88Bud,2
財,cái,wealth; wealthy,禮佛懺悔,88Bud,1
念,niàn,mindfulness; thought; mindful,禮佛懺悔,88Bud,5
名,míng,name; renown; named,禮佛懺悔,88Bud,1
稱,chēng,renown; name; praise,禮佛懺悔,88Bud,1
紅,hóng,red,禮佛懺悔,88Bud,1
燄,yàn,blazing; flame,禮佛懺悔,88Bud,1
帝,dì,imperial; sovereign,禮佛懺悔,88Bud,1
步,bù,travel; step; walking,禮佛懺悔,88Bud,3
鬬,dòu,battle,禮佛懺悔,88Bud,1
戰,zhàn,battle; war,禮佛懺悔,88Bud,1
周,zhōu,encompassing; complete,禮佛懺悔,88Bud,2
帀,zā,encompassing,禮佛懺悔,88Bud,1
住,zhù,dwell; abide,禮佛懺悔,88Bud,4
樹,shù,tree,禮佛懺悔,88Bud,1
是,shì,is; thus; so,禮佛懺悔,88Bud,10
當,dāng,should; may; ought,禮佛懺悔,88Bud,3
我,wǒ,I; me,禮佛懺悔,88Bud,20
若,ruò,whether; if,禮佛懺悔,88Bud,16
此,cǐ,this,禮佛懺悔,88Bud,3
前,qián,former; before,禮佛懺悔,88Bud,3
從,cóng,from; throughout,禮佛懺悔,88Bud,2
始,shǐ,beginning,禮佛懺悔,88Bud,2
死,sǐ,death; die,禮佛懺悔,88Bud,1
所,suǒ,that which; place,禮佛懺悔,88Bud,15
作,zuò,done; commit; make,禮佛懺悔,88Bud,14
罪,zuì,offenses; sins,禮佛懺悔,88Bud,5
教,jiào,told; teach; instruct,禮佛懺悔,88Bud,4
他,tā,others; another,禮佛懺悔,88Bud,4
隨,suí,compliantly; follow,禮佛懺悔,88Bud,7
塔,tǎ,stupa; pagoda,禮佛懺悔,88Bud,1
四,sì,four,禮佛懺悔,88Bud,2
物,wù,things; possessions,禮佛懺悔,88Bud,1
取,qǔ,take; grasp,禮佛懺悔,88Bud,3
五,wǔ,five,禮佛懺悔,88Bud,1
道,dào,way; path; evil (in 惡道),禮佛懺悔,88Bud,2
障,zhàng,obstruction; hindrance,禮佛懺悔,88Bud,3
或,huò,whether; or,禮佛懺悔,88Bud,4
有,yǒu,have; existence; some,禮佛懺悔,88Bud,11
覆,fù,hidden; cover,禮佛懺悔,88Bud,2
墮,duò,falling; fall,禮佛懺悔,88Bud,1
地,dì,hells (in 地獄); land; earth,禮佛懺悔,88Bud,2
獄,yù,hells; prison,禮佛懺悔,88Bud,1
餓,è,hungry,禮佛懺悔,88Bud,1
鬼,guǐ,ghost,禮佛懺悔,88Bud,1
畜,chù,animal,禮佛懺悔,88Bud,2
餘,yú,other; remaining; remainder,禮佛懺悔,88Bud,4
惡,è,evil; bad,禮佛懺悔,88Bud,2
趣,qù,destiny; realm,禮佛懺悔,88Bud,1
邊,biān,boundless; border,禮佛懺悔,88Bud,2
下,xià,lowly; below,禮佛懺悔,88Bud,1
賤,jiàn,lowly; inferior,禮佛懺悔,88Bud,1
及,jí,and; also; reach,禮佛懺悔,88Bud,8
處,chù,place; dwelling,禮佛懺悔,88Bud,2
今,jīn,now; present,禮佛懺悔,88Bud,7
皆,jiē,all; entirely,禮佛懺悔,88Bud,12
證,zhèng,certify; prove,禮佛懺悔,88Bud,1
憶,yì,mindful; remember,禮佛懺悔,88Bud,1
復,fù,further; again; transformed,禮佛懺悔,88Bud,2
於,yú,before; in; at (particle),禮佛懺悔,88Bud,6
言,yán,words; speak,禮佛懺悔,88Bud,2
曾,céng,have; once; ever,禮佛懺悔,88Bud,1
布,bù,giving (in 布施),禮佛懺悔,88Bud,1
守,shǒu,guarding; uphold,禮佛懺悔,88Bud,1
戒,jiè,precepts,禮佛懺悔,88Bud,1
乃,nǎi,simply; even unto,禮佛懺悔,88Bud,2
與,yǔ,give; and; with,禮佛懺悔,88Bud,3
摶,tuán,morsel; lump,禮佛懺悔,88Bud,1
之,zhī,of (particle),禮佛懺悔,88Bud,2
食,shí,food,禮佛懺悔,88Bud,1
修,xiū,cultivating; practice,禮佛懺悔,88Bud,2
根,"gēn,",roots,禮佛懺悔,88Bud,5
成,chéng,accomplish; become,禮佛懺悔,88Bud,3
就,jiù,accomplishment; attain,禮佛懺悔,88Bud,2
合,hé,accumulated; combine,禮佛懺悔,88Bud,1
集,jí,accumulated; gather,禮佛懺悔,88Bud,1
校,jiào,reckoned; calculate,禮佛懺悔,88Bud,1
計,jì,reckoned; calculate,禮佛懺悔,88Bud,1
籌,chóu,reckoned; plan,禮佛懺悔,88Bud,1
悉,xī,entirely; completely; all,禮佛懺悔,88Bud,6
迴,huí,transfer; turn around,禮佛懺悔,88Bud,7
向,xiàng,toward; transfer to,禮佛懺悔,88Bud,7
三,sān,three; sam- (phonetic),禮佛懺悔,88Bud,5
過,guò,past; surpass,禮佛懺悔,88Bud,1
去,qù,past; go,禮佛懺悔,88Bud,2
未,wèi,future; not yet,禮佛懺悔,88Bud,2
亦,yì,also,禮佛懺悔,88Bud,3
福,fú,blessings; merit,禮佛懺悔,88Bud,1
請,qǐng,request; beseech; invite,禮佛懺悔,88Bud,4
願,yuàn,vow; wish,禮佛懺悔,88Bud,6
最,zuì,supreme; foremost; most,禮佛懺悔,88Bud,6
中,zhōng,amid; middle; within,禮佛懺悔,88Bud,3
語,yǔ,mouth; speech; language,禮佛懺悔,88Bud,2
剎,chà,lands; kshetra,禮佛懺悔,88Bud,3
塵,chén,dust; motes,禮佛懺悔,88Bud,6
數,shù,number; as many as,禮佛懺悔,88Bud,1
各,gè,each,禮佛懺悔,88Bud,2
會,huì,assembly; host,禮佛懺悔,88Bud,1
然,rán,so; thus; indeed,禮佛懺悔,88Bud,1
深,shēn,deeply; deep; profound,禮佛懺悔,88Bud,3
信,xìn,believe; faith,禮佛懺悔,88Bud,2
充,chōng,filled; full,禮佛懺悔,88Bud,1
出,chū,let fall; put forth,禮佛懺悔,88Bud,1
辭,cí,phrases; words,禮佛懺悔,88Bud,1
劫,jié,kalpas; eons,禮佛懺悔,88Bud,2
讚,zàn,praise,禮佛懺悔,88Bud,2
甚,shèn,wide; very; deep,禮佛懺悔,88Bud,1
鬘,mán,garlands,禮佛懺悔,88Bud,1
伎,jì,music; performance,禮佛懺悔,88Bud,1
塗,tú,perfumes; anoint,禮佛懺悔,88Bud,1
傘,sǎn,parasols; umbrella,禮佛懺悔,88Bud,1
具,jù,complete; equipped,禮佛懺悔,88Bud,1
養,yǎng,offer; nourish,禮佛懺悔,88Bud,4
衣,yī,clothing,禮佛懺悔,88Bud,1
服,fú,clothing,禮佛懺悔,88Bud,1
末,mò,powdered,禮佛懺悔,88Bud,1
燒,shāo,burning; burn,禮佛懺悔,88Bud,1
燭,zhú,candles,禮佛懺悔,88Bud,1
高,gāo,high; lofty,禮佛懺悔,88Bud,1
聚,jù,heaped; gathered,禮佛懺悔,88Bud,1
昔,xī,past; formerly,禮佛懺悔,88Bud,1
造,zào,created; done; made,禮佛懺悔,88Bud,1
業,yè,deeds; karma,禮佛懺悔,88Bud,3
由,yóu,based on; from,禮佛懺悔,88Bud,1
貪,tān,greed,禮佛懺悔,88Bud,1
瞋,chēn,anger; hatred,禮佛懺悔,88Bud,1
癡,chī,delusion; ignorance,禮佛懺悔,88Bud,1
二,èr,two,禮佛懺悔,88Bud,2
乘,shèng,vehicles,禮佛懺悔,88Bud,1
學,xué,study; learner,禮佛懺悔,88Bud,2
初,chū,first; beginning,禮佛懺悔,88Bud,1
者,zhě,those who; one who,禮佛懺悔,88Bud,1
勸,quàn,request; exhort,禮佛懺悔,88Bud,2
轉,zhuǎn,turn; revolve,禮佛懺悔,88Bud,2
輪,lún,wheel,禮佛懺悔,88Bud,2
欲,yù,wish; desire,禮佛懺悔,88Bud,1
示,shì,show; manifest,禮佛懺悔,88Bud,1
誠,chéng,sincerity; sincere,禮佛懺悔,88Bud,1
而,ér,and; with (particle),禮佛懺悔,88Bud,1
唯,wéi,only; yes; may,禮佛懺悔,88Bud,1
久,jiǔ,long; forever,禮佛懺悔,88Bud,1
利,lì,benefit,禮佛懺悔,88Bud,1
將,jiāng,shall,禮佛懺悔,88Bud,1
真,zhēn,True,禮佛懺悔,88Bud,1
性,xìng,nature,禮佛懺悔,88Bud,1
諦,dì,truths,禮佛懺悔,88Bud,1
融,róng,fused; harmonize,禮佛懺悔,88Bud,1
印,yìn,impress; seal,禮佛懺悔,88Bud,1
口,kǒu,mouth,禮佛懺悔,88Bud,1
惑,huò,delusions; confusion,禮佛懺悔,88Bud,1
彈,tán,false accusations; slander,禮佛懺悔,88Bud,1
謗,bàng,false accusations; slander,禮佛懺悔,88Bud,1
消,xiāo,eliminate; extinguish,禮佛懺悔,88Bud,1
滅,miè,extinguished; annihilate,禮佛懺悔,88Bud,1
度,dù,cross over; liberate; degree,禮佛懺悔,88Bud,1
退,tuì,irreversibility; retreat,禮佛懺悔,88Bud,1
煩,fán,afflictions (in 煩惱),禮佛懺悔,88Bud,1
惱,nǎo,afflictions (in 煩惱),禮佛懺悔,88Bud,1
南無,nā mó,Namo; homage to,禮佛懺悔,88Bud,96
栴檀,zhān tán,chandana; sandalwood,禮佛懺悔,88Bud,16
摩尼,mó ní,mani; jewel,禮佛懺悔,88Bud,12
彌勒,mí lè,Maitreya,禮佛懺悔,88Bud,3
琉璃,liú lí,lapis lazuli,禮佛懺悔,88Bud,3
師子,shī zǐ,lion,禮佛懺悔,88Bud,9
須彌,xū mí,Sumeru,禮佛懺悔,88Bud,3
娑羅,suō luó,sala (tree),禮佛懺悔,88Bud,3
涅槃,niè pán,nirvana,禮佛懺悔,88Bud,6
菩薩,pú sà,Bodhisattva,禮佛懺悔,88Bud,30
菩提,pú tí,bodhi; enlightenment,禮佛懺悔,88Bud,20
僧伽,sēng qié,Sangha,禮佛懺悔,88Bud,6
三昧,sān mèi,samadhi,禮佛懺悔,88Bud,5
懺悔,chàn huǐ,repent and reform,禮佛懺悔,88Bud,20
大慈,dà cí,greatly kind; great kindness,禮佛懺悔,88Bud,1
大悲,dà bēi,greatly compassionate; great compassion,禮佛懺悔,88Bud,6
眾生,zhòng shēng,living beings,禮佛懺悔,88Bud,42
大喜,dà xǐ,great joyous giving,禮佛懺悔,88Bud,1
大捨,dà shě,great relinquishing,禮佛懺悔,88Bud,3
相好,xiàng hǎo,hallmarks and fine characteristics,禮佛懺悔,88Bud,1
光明,guāng míng,light; radiance,禮佛懺悔,88Bud,12
歸命,guī mìng,return life; take refuge,禮佛懺悔,88Bud,5
至心,zhì xīn,utmost sincerity,禮佛懺悔,88Bud,3
皈依,guī yī,take refuge,禮佛懺悔,88Bud,9
十方,shí fāng,ten directions,禮佛懺悔,88Bud,20
虛空,xū kōng,empty space,禮佛懺悔,88Bud,12
一切,yī qiè,all; every,禮佛懺悔,88Bud,62
如來,rú lái,Thus Come One; Tathāgata,禮佛懺悔,88Bud,29
應供,yīng gòng,Worthy of Offerings; Arhat,禮佛懺悔,88Bud,5
善逝,shàn shì,Skillful in Leaving; Sugata,禮佛懺悔,88Bud,1
世尊,shì zūn,World Honored One,禮佛懺悔,88Bud,17
金剛,jīn gāng,vajra; diamond,禮佛懺悔,88Bud,6
精進,jīng jìn,vigor; diligence,禮佛懺悔,88Bud,13
功德,gōng dé,merit and virtue,禮佛懺悔,88Bud,57
莊嚴,zhuāng yán,adornments; adorned,禮佛懺悔,88Bud,25
自在,zì zài,self-mastery; ease,禮佛懺悔,88Bud,13
法界,fǎ jiè,Dharma Realm,禮佛懺悔,88Bud,18
供養,gòng yǎng,offerings; make offerings,禮佛懺悔,88Bud,14
迴向,huí xiàng,transference; transfer merit,禮佛懺悔,88Bud,23
隨喜,suí xǐ,compliantly rejoice,禮佛懺悔,88Bud,36
善根,shàn gēn,good roots,禮佛懺悔,88Bud,18
布施,bù shī,giving; dāna,禮佛懺悔,88Bud,3
清淨,qīng jìng,pure; purity,禮佛懺悔,88Bud,9
生死,shēng sǐ,births and deaths; saṃsāra,禮佛懺悔,88Bud,4
罪障,zuì zhàng,obstructing offenses,禮佛懺悔,88Bud,10
地獄,dì yù,hells,禮佛懺悔,88Bud,3
餓鬼,è guǐ,hungry ghosts,禮佛懺悔,88Bud,5
畜生,chù shēng,animals,禮佛懺悔,88Bud,12
惡趣,è qù,evil destinies,禮佛懺悔,88Bud,3
覆藏,fù cáng,hidden; concealed,禮佛懺悔,88Bud,7
無始,wú shǐ,beginningless; without beginning,禮佛懺悔,88Bud,5
無上,wú shàng,unsurpassed; supreme,禮佛懺悔,88Bud,21
佛道,fó dào,Buddha's Way,禮佛懺悔,88Bud,6
法輪,fǎ lún,Dharma Wheel,禮佛懺悔,88Bud,12
普賢,pǔ xián,Universal Worthy; Samantabhadra,禮佛懺悔,88Bud,19
無量,wú liàng,infinite; immeasurable,禮佛懺悔,88Bud,10
淨戒,jìng jiè,pure precepts,禮佛懺悔,88Bud,7
無間,wú jiàn,Avici; uninterrupted,禮佛懺悔,88Bud,2
不善,bù shàn,unwholesome; evil,禮佛懺悔,88Bud,2
業障,yè zhàng,karmic obstruction,禮佛懺悔,88Bud,6
煩惱,fán nǎo,afflictions; kleśa,禮佛懺悔,88Bud,5
二諦,èr dì,Two Truths,禮佛懺悔,88Bud,1
世界,shì jiè,worlds; realm,禮佛懺悔,88Bud,16
世間,shì jiān,world; mundane world,禮佛懺悔,88Bud,13
三世,sān shì,three periods of time,禮佛懺悔,88Bud,6
過去,guò qù,past,禮佛懺悔,88Bud,2
未來,wèi lái,future,禮佛懺悔,88Bud,7
現在,xiàn zài,present,禮佛懺悔,88Bud,9
含識,hán shí,conscious beings,禮佛懺悔,88Bud,6
勸請,quàn qǐng,request; beseech,禮佛懺悔,88Bud,12
憶念,yì niàn,mindful; remember,禮佛懺悔,88Bud,2
證知,zhèng zhī,certify; verify,禮佛懺悔,88Bud,7
智慧,zhì huì,wisdom,禮佛懺悔,88Bud,3
無盡,wú jìn,endless; inexhaustible,禮佛懺悔,88Bud,4
最勝,zuì shèng,supreme; foremost,禮佛懺悔,88Bud,20
充滿,chōng mǎn,filled; replete,禮佛懺悔,88Bud,6
惡業,è yè,evil deeds; evil karma,禮佛懺悔,88Bud,6
神通,shén tōng,spiritual power,禮佛懺悔,88Bud,8
二乘,èr shèng,Two Vehicles,禮佛懺悔,88Bud,1
有學,yǒu xué,learners,禮佛懺悔,88Bud,3
無學,wú xué,those past study,禮佛懺悔,88Bud,6
四方,sì fāng,four directions,禮佛懺悔,88Bud,6
見惑,jiàn huò,view delusions,禮佛懺悔,88Bud,1
彈謗,tán bàng,false accusations; slander,禮佛懺悔,88Bud,3
邊地,biān dì,border regions,禮佛懺悔,88Bud,1
下賤,xià jiàn,lowly life,禮佛懺悔,88Bud,3
華鬘,huā mán,flower garlands,禮佛懺悔,88Bud,6
塗香,tú xiāng,perfumes; ointment incense,禮佛懺悔,88Bud,3
傘蓋,sǎn gài,parasols and canopies,禮佛懺悔,88Bud,6
燈燭,dēng zhú,lamps and candles,禮佛懺悔,88Bud,6
燒香,shāo xiāng,burning incense,禮佛懺悔,88Bud,3
衣服,yī fú,clothing,禮佛懺悔,88Bud,3
淨行,jìng xíng,pure conduct,禮佛懺悔,88Bud,3
合集,hé jí,accumulated; gathered,禮佛懺悔,88Bud,7
校計,jiào jì,reckoned; calculated,禮佛懺悔,88Bud,1
籌量,chóu liáng,reckoned up; measured,禮佛懺悔,88Bud,3
天人,tiān rén,gods and people,禮佛懺悔,88Bud,1
廣大,guǎng dà,vast; great,禮佛懺悔,88Bud,3
剎塵,chà chén,motes of dust in lands,禮佛懺悔,88Bud,15
諸佛,zhū fó,all the Buddhas,禮佛懺悔,88Bud,26
賢聖,xián shèng,sages and worthies,禮佛懺悔,88Bud,7
僧物,sēng wù,Sangha belongings; Sangha property,禮佛懺悔,88Bud,8
常住,cháng zhù,dwell forever; permanent,禮佛懺悔,88Bud,1
所作,suǒ zuò,have done; that which is done,禮佛懺悔,88Bud,8
眾罪,zhòng zuì,offenses; many sins,禮佛懺悔,88Bud,4
所有,suǒ yǒu,all; that which exists,禮佛懺悔,88Bud,11
乃至,nǎi zhì,simply; even unto,禮佛懺悔,88Bud,2
成就,chéng jiù,accomplish; accomplishment,禮佛懺悔,88Bud,8
須曼那,xū màn nà,Sumana (phonetic),禮佛懺悔,88Bud,3
阿閦毗,ā chù pí,Akshobya (phonetic),禮佛懺悔,88Bud,3
娑留那,suō liú nà,Swo Lyu Na (phonetic),禮佛懺悔,88Bud,3
那羅延,nà luó yán,Narayana (phonetic),禮佛懺悔,88Bud,3
蔑戾車,miè lì chē,mleccha (phonetic),禮佛懺悔,88Bud,6
阿彌陀,ā mí tuó,Amita; Amitabha,禮佛懺悔,88Bud,7
正遍知,zhèng biàn zhī,Proper and Universal Knowledge,禮佛懺悔,88Bud,1
明行足,míng hèng zú,Perfect in Understanding and Conduct,禮佛懺悔,88Bud,1
世間解,shì jiān jiě,World-Understanding; Lokavid,禮佛懺悔,88Bud,3
無上士,wú shàng shì,Unsurpassed Knight,禮佛懺悔,88Bud,1
天人師,tiān rén shī,Teacher of Gods and People,禮佛懺悔,88Bud,1
貪瞋癡,tān chēn chī,"greed, anger, and delusion",禮佛懺悔,88Bud,5
身語意,shēn yǔ yì,"body, speech, and mind",禮佛懺悔,88Bud,7
五無間,wǔ wú jiàn,five Avici (offenses),禮佛懺悔,88Bud,1
佛世尊,fó shì zūn,"Buddha, World Honored One",禮佛懺悔,88Bud,11
無上智,wú shàng zhì,supreme wisdom,禮佛懺悔,88Bud,14
多摩羅跋,duō mó luó bá,Tamalapattra (phonetic),禮佛懺悔,88Bud,3
優曇缽羅,yōu tán bō luó,Udumbara (phonetic),禮佛懺悔,88Bud,3
釋迦牟尼,shì jiā móu ní,Shakyamuni,禮佛懺悔,88Bud,3
調御丈夫,tiáo yù zhàng fū,Taming Hero,禮佛懺悔,88Bud,4
阿彌陀佛,ā mí tuó fó,Amita Buddha; Amitabha Buddha,禮佛懺悔,88Bud,7
盡虛空界,jìn xū kōng jiè,to the ends of empty space,禮佛懺悔,88Bud,3
十不善道,shí bù shàn dào,ten evils; ten unwholesome paths,禮佛懺悔,88Bud,1
見作隨喜,jiàn zuò suí xǐ,condoning their being done,禮佛懺悔,88Bud,11
大慈大悲,dà cí dà bēi,greatly kind and compassionate,禮佛懺悔,88Bud,1
法界藏身,fǎ jiè cáng shēn,body as treasury of the Dharma Realm,禮佛懺悔,88Bud,3
大行普賢菩薩,dà hèng pǔ xián pú sà,Universal Worthy Bodhisattva of Great Conduct,禮佛懺悔,88Bud,9
阿耨多羅三藐三菩提,ā nòu duō luó sān miǎo sān pú tí,Anuttarasamyaksambodhi,禮佛懺悔,88Bud,1
