include,chinese,pinyin,english_def,multichar,ch_tag,eng_tag
1, 方, fāng, direction; region,False,佛讚,amitabha_praise
1, 樂, lè, bliss; happiness,False,佛讚,amitabha_praise
1, 界, jiè, realm; boundary,False,佛讚,amitabha_praise
1, 悲, bēi, compassion; pity,False,佛讚,amitabha_praise
1,四生, sì shēng, four kinds of beings,True,佛讚,amitabha_praise
1,寶地, bǎo dì, jewelled land,True,佛讚,amitabha_praise
1,三有, sān yǒu, three realms of existence,True,佛讚,amitabha_praise
1,托化, tuō huà, be born from; transformation,True,佛讚,amitabha_praise
1,蓮池, lián chí, lotus pond,True,佛讚,amitabha_praise
1,河沙, hé shā, countless like river sands,True,佛讚,amitabha_praise
1,餓鬼, è guǐ, hungry ghost,True,佛讚,amitabha_praise
1,三賢, sān xián, three-fold worthiness,True,佛讚,amitabha_praise
1,萬類, wàn lèi, countless kinds,True,佛讚,amitabha_praise
1,有情, yǒu qíng, sentient beings,True,佛讚,amitabha_praise
1,十地, shí dì, ten grounds,True,佛讚,amitabha_praise
1,金色, jīn sè, golden color,True,佛讚,amitabha_praise
1,相好, xiàng hǎo, hallmarks of a Buddha,True,佛讚,amitabha_praise
1,光明, guāng míng, splendor; light,True,佛讚,amitabha_praise
1,白毫, bái háo, white hair between brows,True,佛讚,amitabha_praise
1,宛轉, wǎn zhuǎn, winding; shine round,True,佛讚,amitabha_praise
1,須彌, xū mí, Sumeru cosmic mountain,True,佛讚,amitabha_praise
1,紺目, gàn mù, blue-black eyes,True,佛讚,amitabha_praise
1,澄清, chéng qīng, pure and clear,True,佛讚,amitabha_praise
1,光中, guāng zhōng, within the light,True,佛讚,amitabha_praise
1,化佛, huà fó, transformation Buddha,True,佛讚,amitabha_praise
1,無數, wú shù, countless,True,佛讚,amitabha_praise
1,菩薩, pú sà, Bodhisattva,True,佛讚,amitabha_praise
1,無邊, wú biān, boundless; infinite,True,佛讚,amitabha_praise
1,眾生, zhòng shēng, sentient beings,True,佛讚,amitabha_praise
1,九品, jiǔ pǐn, nine lotus stages,True,佛讚,amitabha_praise
1,彼岸, bǐ àn, farther shore; nirvana,True,佛讚,amitabha_praise
1,南無, nā mó, homage to,True,佛讚,amitabha_praise
1,西方, xī fāng, western,True,佛讚,amitabha_praise
1,極樂, jí lè, ultimate bliss,True,佛讚,amitabha_praise
1,世界, shì jiè, world,True,佛讚,amitabha_praise
1,大慈, dà cí, great kindness,True,佛讚,amitabha_praise
1,大悲, dà bēi, great compassion,True,佛讚,amitabha_praise
1,無等倫, wú děng lún, incomparable; has no peer,True,佛讚,amitabha_praise
1,五須彌, wǔ xū mí, five Sumeru mountains,True,佛讚,amitabha_praise
1,四大海, sì dà hǎi, four great seas,True,佛讚,amitabha_praise
1,化菩薩, huà pú sà, transformation Bodhisattvas,True,佛讚,amitabha_praise
1,四十八願, sì shí bā yuàn, forty-eight vows,True,佛讚,amitabha_praise
1,極樂世界, jí lè shì jiè, Land of Ultimate Bliss,True,佛讚,amitabha_praise
1,大慈大悲, dà cí dà bēi, great kindness and compassion,True,佛讚,amitabha_praise
1,阿彌陀佛, ā mí tuó fó, Amitabha Buddha,True,佛讚,amitabha_praise
