chinese,pinyin,english_def,ch_tag,eng_tag
恆,héng,Ganges,shurangama,楞嚴咒
金,jīn,gold,shurangama,楞嚴咒
恩,ēn,grace,shurangama,楞嚴咒
大,dà,great,shurangama,楞嚴咒
觀,guān,Guan,shurangama,楞嚴咒
剛,gāng,hard,shurangama,楞嚴咒
抱,bào,hold; filled with,shurangama,楞嚴咒
持,chí,hold; uphold,shurangama,楞嚴咒
擎,qíng,holding aloft,shurangama,楞嚴咒
尊,zūn,Honored One,shurangama,楞嚴咒
伏,fú,humbly,shurangama,楞嚴咒
百,bǎi,hundred,shurangama,楞嚴咒
於,yú,in; at,shurangama,楞嚴咒
顛,diān,inverted,shurangama,楞嚴咒
劫,jié,kalpas,shurangama,楞嚴咒
哀,āi,kind,shurangama,楞嚴咒
王,wáng,king,shurangama,楞嚴咒
刹,chà,lands,shurangama,楞嚴咒
光,guāng,light,shurangama,楞嚴咒
如,rú,like; if,shurangama,楞嚴咒
聽,tīng,listened,shurangama,楞嚴咒
蓮,lián,lotus,shurangama,楞嚴咒
咒,zhòu,Mantra,shurangama,楞嚴咒
髻,jì,mound,shurangama,楞嚴咒
山,shān,mountain,shurangama,楞嚴咒
動,dòng,move,shurangama,楞嚴咒
動,dòng,moving,shurangama,楞嚴咒
我,wǒ,my; I,shurangama,楞嚴咒
塵,chén,myriad; dust,shurangama,楞嚴咒
名,míng,named,shurangama,楞嚴咒
性,xìng,nature,shurangama,楞嚴咒
未,wèi,not yet,shurangama,楞嚴咒
今,jīn,now,shurangama,楞嚴咒
更,gèng,now; further,shurangama,楞嚴咒
上,shàng,of; upon,shurangama,楞嚴咒
奉,fèng,offer,shurangama,楞嚴咒
出,chū,out,shurangama,楞嚴咒
歷,lì,pass through,shurangama,楞嚴咒
杵,chǔ,pestle,shurangama,楞嚴咒
葉,yè,petalled,shurangama,楞嚴咒
場,chǎng,place,shurangama,楞嚴咒
力,lì,power,shurangama,楞嚴咒
寶,bǎo,precious; Dharma,shurangama,楞嚴咒
宣,xuān,proclaimed,shurangama,楞嚴咒
說,shuō,proclaimed,shurangama,楞嚴咒
祐,yòu,protection,shurangama,楞嚴咒
明,míng,prove,shurangama,楞嚴咒
早,zǎo,quickly,shurangama,楞嚴咒
希,xī,rare; pray,shurangama,楞嚴咒
道,dào,rays,shurangama,楞嚴咒
界,jiè,realms,shurangama,楞嚴咒
涌,yǒng,released; arose,shurangama,楞嚴咒
報,bào,repay,shurangama,楞嚴咒
度,dù,rescue,shurangama,楞嚴咒
心,xīn,resolve; mind,shurangama,楞嚴咒
還,huán,return,shurangama,楞嚴咒
示,shì,reveal,shurangama,楞嚴咒
現,xiàn,reveal,shurangama,楞嚴咒
沙,shā,sands,shurangama,楞嚴咒
僧,sēng,Sangha,shurangama,楞嚴咒
密,mì,secret,shurangama,楞嚴咒
求,qiú,seeking,shurangama,楞嚴咒
一,yī,single,shurangama,楞嚴咒
坐,zuò,sit,shurangama,楞嚴咒
神,shén,spiritual,shurangama,楞嚴咒
微,wéi,subtle,shurangama,楞嚴咒
頂,dǐng,summit; crown,shurangama,楞嚴咒
首,shǒu,Supreme; head,shurangama,楞嚴咒
將,jiāng,take (particle); offer,shurangama,楞嚴咒
取,qǔ,take; choose,shurangama,楞嚴咒
十,shí,tenfold; ten,shurangama,楞嚴咒
爾,ěr,that,shurangama,楞嚴咒
則,zé,then; thus (particle),shurangama,楞嚴咒
此,cǐ,this,shurangama,楞嚴咒
是,shì,this; thus,shurangama,楞嚴咒
想,xiǎng,thoughts,shurangama,楞嚴咒
千,qiān,thousand,shurangama,楞嚴咒
如,rú,Thus,shurangama,楞嚴咒
時,shí,time,shurangama,楞嚴咒
總,zǒng,total; general,shurangama,楞嚴咒
迹,jì,trace,shurangama,楞嚴咒
化,huà,transformation,shurangama,楞嚴咒
藏,zàng,Treasury,shurangama,楞嚴咒
濁,zhuó,turbidities,shurangama,楞嚴咒
轉,zhuǎn,turn,shurangama,楞嚴咒
終,zhōng,ultimately,shurangama,楞嚴咒
無,wú,un-; no,shurangama,楞嚴咒
不,bù,un-; not,shurangama,楞嚴咒
審,shěn,uncover,shurangama,楞嚴咒
倒,dǎo,upside down,shurangama,楞嚴咒
仰,yǎng,upward,shurangama,楞嚴咒
誓,shì,vow,shurangama,楞嚴咒
持,chí,wielding,shurangama,楞嚴咒
願,yuàn,wish,shurangama,楞嚴咒
中,zhōng,within; midst,shurangama,楞嚴咒
妙,miào,wondrous,shurangama,楞嚴咒
世,shì,world,shurangama,楞嚴咒
音,yīn,Yin,shurangama,楞嚴咒
成佛,chéng fó,accomplished Buddhahood,shurangama,楞嚴咒
僧祇,sēng qí,aeons,shurangama,楞嚴咒
涌出,yǒng chū,arose,shurangama,楞嚴咒
爾時,ěr shí,At that time,shurangama,楞嚴咒
眾生,zhòng shēng,being(s),shurangama,楞嚴咒
世尊,shì zūn,Bhagavan; World Honored One,shurangama,楞嚴咒
道場,dào chǎng,bodhimandas,shurangama,楞嚴咒
菩薩,pú sà,Bodhisattvas,shurangama,楞嚴咒
佛頂,fó dǐng,Buddha's summit,shurangama,楞嚴咒
證明,zhèng míng,certify; prove,shurangama,楞嚴咒
慈悲,cí bēi,compassionate one,shurangama,楞嚴咒
頂相,dǐng xiàng,crown,shurangama,楞嚴咒
深心,shēn xīn,deep resolve,shurangama,楞嚴咒
顛倒,diān dǎo,deluded,shurangama,楞嚴咒
總持,zǒng chí,dharani,shurangama,楞嚴咒
法身,fǎ shēn,dharma body,shurangama,楞嚴咒
寶王,bǎo wáng,Dharma king,shurangama,楞嚴咒
光明,guāng míng,effulgence,shurangama,楞嚴咒
虛空,xū kōng,empty space,shurangama,楞嚴咒
常住,cháng zhù,eternally abiding,shurangama,楞嚴咒
惡世,è shì,evil world,shurangama,楞嚴咒
五濁,wǔ zhuó,five turbidities,shurangama,楞嚴咒
肉髻,ròu jì,flesh mound,shurangama,楞嚴咒
恆沙,héng shā,Ganges' sands,shurangama,楞嚴咒
仰觀,yǎng guān,gazed upward,shurangama,楞嚴咒
大眾,dà zhòng,great assembly,shurangama,楞嚴咒
大雄,dà xióng,great in courage,shurangama,楞嚴咒
大力,dà lì,great in power,shurangama,楞嚴咒
百寶,bǎi bǎo,hundred-jewelled,shurangama,楞嚴咒
無見,wú jiàn,invisible,shurangama,楞嚴咒
哀祐,āi yòu,kind protection,shurangama,楞嚴咒
銷亡,xiāo wáng,melt away,shurangama,楞嚴咒
一一,yī yī,myriad,shurangama,楞嚴咒
塵刹,chén chà,myriad lands,shurangama,楞嚴咒
南無,ná mó,Na mo,shurangama,楞嚴咒
名為,míng wéi,named as; endeavor to,shurangama,楞嚴咒
泥洹,ní huán,nirvana,shurangama,楞嚴咒
寶華,bǎo huā,precious flower,shurangama,楞嚴咒
宣說,xuān shuō,proclaimed,shurangama,楞嚴咒
寶蓮,bǎo lián,rare lotus,shurangama,楞嚴咒
希有,xī yǒu,rarely appears,shurangama,楞嚴咒
動轉,dòng zhuǎn,remain unmoved,shurangama,楞嚴咒
示現,shì xiàn,revealing,shurangama,楞嚴咒
密迹,mì jì,secret trace,shurangama,楞嚴咒
楞嚴,lèng yán,Shurangama,shurangama,楞嚴咒
一心,yì xīn,single-mindedly,shurangama,楞嚴咒
神咒,shén zhòu,spiritual mantra,shurangama,楞嚴咒
微細,wéi xì,subtlest,shurangama,楞嚴咒
如是,rú shì,such,shurangama,楞嚴咒
無上,wú shàng,supreme,shurangama,楞嚴咒
十方,shí fāng,tenfold; ten directions,shurangama,楞嚴咒
千葉,qiān yè,thousand-petalled,shurangama,楞嚴咒
如來,rú lái,Thus Come One,shurangama,楞嚴咒
不動,bú dòng,unmoving,shurangama,楞嚴咒
金剛,jīn gāng,Vajra,shurangama,楞嚴咒
大慈悲,dà cí bēi,great compassionate one,shurangama,楞嚴咒
觀世音,guān shì yīn,Guan Shi Yin,shurangama,楞嚴咒
恆河沙,héng hé shā,sands of Ganges rivers,shurangama,楞嚴咒
舜若多,shùn ruò duō,Shunyata,shurangama,楞嚴咒
不動尊,bú dòng zūn,unmoving Honored One,shurangama,楞嚴咒
金剛藏,jīn gāng zàng,Vajra Treasury,shurangama,楞嚴咒
爍迦羅,shuò jiā luó,vajra-like,shurangama,楞嚴咒
釋迦牟尼,shì jiā móu ní,Shakyamuni,shurangama,楞嚴咒
