Character,Pīnyīn,English,eng_tag,shared_by,ch_tag
殿,diàn,palace,great_compassion_repentance,,大悲懺
守,shǒu,to guard; to protect,great_compassion_repentance,"手, 首",大悲懺
鬼,guǐ,ghosts,great_compassion_repentance,,大悲懺
眷,juàn,retinue,great_compassion_repentance,,大悲懺
屬,shǔ,retinue,great_compassion_repentance,"黍, 鼠",大悲懺
經,jīng,sutra,great_compassion_repentance,精,大悲懺
云,yún,to say; to speak,great_compassion_repentance,雲,大悲懺
若,ruò,if,great_compassion_repentance,,大悲懺
男,nán,young men,great_compassion_repentance,"南, 難",大悲懺
欲,yù,wanting; wish to,great_compassion_repentance,"玉, 聿, 御, 獄, 遇",大悲懺
誦,sòng,recite,great_compassion_repentance,,大悲懺
起,qǐ,rise; stand; bring forth,great_compassion_repentance,,大悲懺
先,xiān,first,great_compassion_repentance,仙,大悲懺
當,dāng,should,great_compassion_repentance,,大悲懺
從,cóng,follow,great_compassion_repentance,,大悲懺
知,zhī,knowledge,great_compassion_repentance,"支, 之",大悲懺
慧,huì,wisdom,great_compassion_repentance,"會, 諱",大悲懺
度,dù,cross over; rescue,great_compassion_repentance,土,大悲懺
便,biàn,means,great_compassion_repentance,"釆, 變, 遍, 偏, 徧, 辯",大悲懺
若,rě,if,great_compassion_repentance,,大悲懺
船,chuán,boat,great_compassion_repentance,傳,大悲懺
越,yuè,cross over,great_compassion_repentance,"月, 龠, 樂, 悅, 嶽",大悲懺
苦,kǔ,suffering,great_compassion_repentance,,大悲懺
戒,jiè,precepts,great_compassion_repentance,界,大悲懺
會,huì,dwell; assembly,great_compassion_repentance,"慧, 諱",大悲懺
向,xiàng,transferring; dedicate,great_compassion_repentance,相,大悲懺
刀,dāo,knives,great_compassion_repentance,,大悲懺
摧,cuī,breaks up,great_compassion_repentance,,大悲懺
折,zhé,breaks up,great_compassion_repentance,,大悲懺
湯,tāng,oil; soup,great_compassion_repentance,,大悲懺
枯,kū,dries up,great_compassion_repentance,窟,大悲懺
竭,jié,dries up,great_compassion_repentance,"卩, 結, 劫, 潔",大悲懺
獄,yù,hells,great_compassion_repentance,"玉, 聿, 欲, 御, 遇",大悲懺
餓,è,hungry; starving,great_compassion_repentance,"厄, 惡",大悲懺
飽,bǎo,become full,great_compassion_repentance,寶,大悲懺
調,tiáo,tamed,great_compassion_repentance,,大悲懺
伏,fú,tamed,great_compassion_repentance,"福, 服",大悲懺
畜,chù,animal; livestock,great_compassion_repentance,"處, 觸",大悲懺
白,bái,said to,great_compassion_repentance,,大悲懺
言,yán,words,great_compassion_repentance,"嚴, 延, 巖, 顏",大悲懺
墮,duò,fall into,great_compassion_repentance,,大悲懺
誓,shì,vow,great_compassion_repentance,"士, 氏, 示, 事, 是, 世, 飾, 逝, 釋, 勢, 識",大悲懺
覺,jué,enlightenment; to awaken,great_compassion_repentance,"亅, 決",大悲懺
國,guó,Buddhaland; country,great_compassion_repentance,,大悲懺
也,yě,(final particle); also,great_compassion_repentance,,大悲懺
乃,nǎi,having (spoken),great_compassion_repentance,,大悲懺
語,yǔ,words,great_compassion_repentance,"羽, 雨, 與",大悲懺
合,hé,put together,great_compassion_repentance,"禾, 何, 和, 河",大悲懺
掌,zhǎng,palms,great_compassion_repentance,長,大悲懺
開,kāi,open,great_compassion_repentance,,大悲懺
顏,yán,broadly (face),great_compassion_repentance,"言, 嚴, 延, 巖",大悲懺
含,hán,with (smile); shared by,great_compassion_repentance,,大悲懺
笑,xiào,smiled,great_compassion_repentance,,大悲懺
即,jí,in this way; quickly,great_compassion_repentance,"及, 極, 寂, 集, 疾",大悲懺
曰,yuē,is like this; says,great_compassion_repentance,,大悲懺
六,liù,six ways; six,great_compassion_repentance,,大悲懺
變,biàn,ways (shaking),great_compassion_repentance,"釆, 遍, 偏, 徧, 便, 辯",大悲懺
震,zhèn,shook,great_compassion_repentance,,大悲懺
動,dòng,shook; movement,great_compassion_repentance,凍,大悲懺
雨,yǔ,rained forth,great_compassion_repentance,"羽, 語, 與",大悲懺
繽,bīn,colorful profusion,great_compassion_repentance,,大悲懺
紛,fēn,colorful profusion,great_compassion_repentance,分,大悲懺
而,ér,and (conjunction),great_compassion_repentance,儿,大悲懺
下,xià,down; below,great_compassion_repentance,,大悲懺
歡,huān,delighted,great_compassion_repentance,,大悲懺
喜,xǐ,delighted; rejoice,great_compassion_repentance,,大悲懺
魔,mó,demons,great_compassion_repentance,"無, 摩",大悲懺
外,wài,outer,great_compassion_repentance,,大悲懺
恐,kǒng,afraid,great_compassion_repentance,孔,大悲懺
怖,bù,fear,great_compassion_repentance,"不, 布, 步, 部",大悲懺
毛,máo,hair,great_compassion_repentance,矛,大悲懺
豎,shù,stood on end,great_compassion_repentance,"樹, 數",大悲懺
或,huò,some; others,great_compassion_repentance,"惑, 獲",大悲懺
二,èr,second (ground),great_compassion_repentance,,大悲懺
五,wǔ,five parts of the body,great_compassion_repentance,鵡,大悲懺
始,shǐ,beginning,great_compassion_repentance,"矢, 豕, 使",大悲懺
根,gēn,sense-faculties,great_compassion_repentance,,大悲懺
罪,zuì,evils; offenses,great_compassion_repentance,最,大悲懺
要,yào,essentials,great_compassion_repentance,藥,大悲懺
但,dàn,merely,great_compassion_repentance,旦,大悲懺
順,shùn,complying with,great_compassion_repentance,,大悲懺
死,sǐ,deaths,great_compassion_repentance,,大悲懺
理,lǐ,form together,great_compassion_repentance,"里, 禮",大悲懺
雖,suī,although,great_compassion_repentance,夊,大悲懺
猶,yóu,continue,great_compassion_repentance,"遊, 由",大悲懺
與,yǔ,along with; and,great_compassion_repentance,"羽, 雨, 語",大悲懺
對,duì,before,great_compassion_repentance,,大悲懺
悔,huǐ,reform; repentance,great_compassion_repentance,毀,大悲懺
加,jiā,protection; consort with,great_compassion_repentance,"家, 迦",大悲懺
恩,ēn,superiors,great_compassion_repentance,,大悲懺
斷,duàn,cut off,great_compassion_repentance,,大悲懺
由,yóu,stem from; because of,great_compassion_repentance,"遊, 猶",大悲懺
愛,ài,love,great_compassion_repentance,礙,大悲懺
內,nèi,inner,great_compassion_repentance,,大悲懺
計,jì,scheme,great_compassion_repentance,"彐, 偈, 濟, 伎, 髻, 迹, 寂, 暨, 際",大悲懺
人,rén,myself (others/self context); people,great_compassion_repentance,仁,大悲懺
友,yǒu,friends,great_compassion_repentance,"酉, 有",大悲懺
隨,suí,rejoice compliantly; follow,great_compassion_repentance,,大悲懺
他,tā,others,great_compassion_repentance,,大悲懺
毫,háo,hair's breadth,great_compassion_repentance,,大悲懺
造,zào,committed; create; offenses,great_compassion_repentance,,大悲懺
布,bù,pervades,great_compassion_repentance,"不, 步, 怖, 部",大悲懺
晝,zhòu,day,great_compassion_repentance,咒,大悲懺
夜,yè,night,great_compassion_repentance,"頁, 業, 葉",大悲懺
相,xiāng,incessant,great_compassion_repentance,香,大悲懺
續,xù,incessant; continues,great_compassion_repentance,旭,大悲懺
覆,fù,covering up,great_compassion_repentance,"父, 阜, 復, 縛",大悲懺
諱,huì,covering up,great_compassion_repentance,"會, 慧",大悲懺
失,shī,mistakes; errors,great_compassion_repentance,"尸, 師, 施",大悲懺
畏,wèi,fear,great_compassion_repentance,"為, 味, 謂, 未, 位",大悲懺
慚,cán,ashamed; shame,great_compassion_repentance,,大悲懺
愧,kuì,remorse; fear,great_compassion_repentance,,大悲懺
撥,bō,denying,great_compassion_repentance,"癶, 般, 波",大悲懺
因,yīn,cause,great_compassion_repentance,"音, 殷",大悲懺
深,shēn,deeply,great_compassion_repentance,"身, 伸",大悲懺
信,xìn,believe,great_compassion_repentance,,大悲懺
露,lòu,lay bare; confess,great_compassion_repentance,,大悲懺
勤,qín,diligently,great_compassion_repentance,,大悲懺
策,cè,to spur on; to urge,great_compassion_repentance,,大悲懺
翻,fān,reform,great_compassion_repentance,,大悲懺
昔,xī,past,great_compassion_repentance,"夕, 西, 悉, 希",大悲懺
凡,fán,ordinary people,great_compassion_repentance,煩,大悲懺
聖,shèng,sages; holy,great_compassion_repentance,"勝, 乘",大悲懺
念,niàn,reflects; thoughts; recites,great_compassion_repentance,,大悲懺
福,fú,blessings,great_compassion_repentance,"伏, 服",大悲懺
拔,bá,pull me out; rescue,great_compassion_repentance,,大悲懺
置,zhì,bring me straight to,great_compassion_repentance,"至, 豸, 智, 致, 制",大悲懺
岸,àn,shore,great_compassion_repentance,闇,大悲懺
攝,shè,gather it in,great_compassion_repentance,"舍, 社",大悲懺
弟,dì,disciple,great_compassion_repentance,"地, 帝, 諦",大悲懺
子,zǐ,god; child,great_compassion_repentance,紫,大悲懺
眾,zhòng,assembly; crowd; many,great_compassion_repentance,重,大悲懺
識,shì,consciousness; to know,great_compassion_repentance,"士, 氏, 示, 事, 是, 世, 飾, 逝, 釋, 誓, 勢",大悲懺
闇,àn,dark; obscure,great_compassion_repentance,岸,大悲懺
觸,chù,contact with,great_compassion_repentance,"處, 畜",大悲懺
昏,hūn,dims,great_compassion_repentance,,大悲懺
迷,mí,confuses,great_compassion_repentance,彌,大悲懺
舉,jǔ,arise (thoughts),great_compassion_repentance,沮,大悲懺
縛,fù,bind,great_compassion_repentance,"父, 阜, 復, 覆",大悲懺
著,zhuó,attachments,great_compassion_repentance,濁,大悲懺
平,píng,sameness,great_compassion_repentance,,大悲懺
想,xiǎng,notions,great_compassion_repentance,,大悲懺
口,kǒu,mouth,great_compassion_repentance,,大悲懺
緣,yuán,conditions,great_compassion_repentance,"源, 圓",大悲懺
逆,nì,rebellious offenses,great_compassion_repentance,,大悲懺
謗,bàng,slandering,great_compassion_repentance,,大悲懺
破,pò,breaking,great_compassion_repentance,迫,大悲懺
齋,zhāi,pure eating,great_compassion_repentance,,大悲懺
毀,huǐ,destroying; ruining,great_compassion_repentance,悔,大悲懺
塔,tǎ,stupas,great_compassion_repentance,,大悲懺
壞,huài,ruining,great_compassion_repentance,,大悲懺
寺,sì,temples,great_compassion_repentance,四,大悲懺
偷,tōu,stealing from,great_compassion_repentance,,大悲懺
祇,qí,(Sangha) property; earth-spirit,great_compassion_repentance,"齊, 其, 奇",大悲懺
物,wù,property; food; objects,great_compassion_repentance,"勿, 悟",大悲懺
污,wū,defiling,great_compassion_repentance,烏,大悲懺
淨,jìng,extinguished,great_compassion_repentance,"竟, 敬, 靜",大悲懺
行,xíng,conduct; practices,great_compassion_repentance,形,大悲懺
侵,qīn,destroying,great_compassion_repentance,親,大悲懺
損,sǔn,destroying,great_compassion_repentance,,大悲懺
