chinese,pinyin,english_def,ch_tag,eng_tag
家,jiā,Family; Home,萬佛聖城宗旨,cttb_traditions
風,fēng,Wind; Tradition,萬佛聖城宗旨,cttb_traditions
任,rèn,Any; Allow,萬佛聖城宗旨,cttb_traditions
何,hé,What; Which,萬佛聖城宗旨,cttb_traditions
人,rén,Person; People,萬佛聖城宗旨,cttb_traditions
都,dōu,All; Even (emphasis particle),萬佛聖城宗旨,cttb_traditions
能,néng,Can; Able to,萬佛聖城宗旨,cttb_traditions
改,gǎi,Change; Alter,萬佛聖城宗旨,cttb_traditions
萬佛,wàn fó,Ten thousand Buddhas,萬佛聖城宗旨,cttb_traditions
聖城,shèng chéng,Sagely City,萬佛聖城宗旨,cttb_traditions
宗旨,zōng zhǐ,Guiding principles,萬佛聖城宗旨,cttb_traditions
攀緣,pān yuán,Scheme; Exploit conditions,萬佛聖城宗旨,cttb_traditions
化緣,huà yuán,Beg for alms,萬佛聖城宗旨,cttb_traditions
不求,bù qiú,Do not seek,萬佛聖城宗旨,cttb_traditions
求緣,qiú yuán,Seek conditions; Ask for nothing,萬佛聖城宗旨,cttb_traditions
隨緣,suí yuán,Accord with conditions,萬佛聖城宗旨,cttb_traditions
不變,bù biàn,Do not change,萬佛聖城宗旨,cttb_traditions
我們,wǒ men,We; Us,萬佛聖城宗旨,cttb_traditions
三大,sān dà,Three great,萬佛聖城宗旨,cttb_traditions
捨命,shě mìng,Renounce life,萬佛聖城宗旨,cttb_traditions
佛事,fó shì,Buddha’s work,萬佛聖城宗旨,cttb_traditions
造命,zào mìng,Mold destiny,萬佛聖城宗旨,cttb_traditions
本事,běn shì,Basic duty,萬佛聖城宗旨,cttb_traditions
正命,zhèng mìng,Rectify life; Proper livelihood,萬佛聖城宗旨,cttb_traditions
僧事,sēng shì,Sanghan’s role,萬佛聖城宗旨,cttb_traditions
即事,jí shì,Encounter specific matters,萬佛聖城宗旨,cttb_traditions
明理,míng lǐ,Understand principles,萬佛聖城宗旨,cttb_traditions
推行,tuī xíng,Carry out; Carry on,萬佛聖城宗旨,cttb_traditions
祖師,zǔ shī,Patriarch,萬佛聖城宗旨,cttb_traditions
一脈,yī mài,Single pulse; One lineage,萬佛聖城宗旨,cttb_traditions
心傳,xīn chuán,Mind-transmission,萬佛聖城宗旨,cttb_traditions
自己,zì jǐ,Oneself,萬佛聖城宗旨,cttb_traditions
不爭,bù zhēng,Do not fight,萬佛聖城宗旨,cttb_traditions
不貪,bù tān,Do not be greedy,萬佛聖城宗旨,cttb_traditions
自私,zì sī,Selfish,萬佛聖城宗旨,cttb_traditions
自利,zì lì,Personal advantage; Self-benefit,萬佛聖城宗旨,cttb_traditions
妄語,wàng yǔ,False speech; Lie,萬佛聖城宗旨,cttb_traditions
一餐,yī cān,One meal,萬佛聖城宗旨,cttb_traditions
家風,jiā fēng,Family tradition; Traditions,萬佛聖城宗旨,cttb_traditions
任何,rèn hé,Any,萬佛聖城宗旨,cttb_traditions
不能,bù néng,Cannot,萬佛聖城宗旨,cttb_traditions
問自己,wèn zì jǐ,ask myself,萬佛聖城宗旨,cttb_traditions
是不是,shì bù shì,Is it not?; Am I?,萬佛聖城宗旨,cttb_traditions
打妄語,dǎ wàng yǔ,Tell a lie,萬佛聖城宗旨,cttb_traditions
任何人,rèn hé rén,Anyone; No one,萬佛聖城宗旨,cttb_traditions
萬佛聖城,wàn fó shèng chéng,City of Ten Thousand Buddhas,萬佛聖城宗旨,cttb_traditions
隨緣不變,suí yuán bù biàn,Accord with conditions but do not change,萬佛聖城宗旨,cttb_traditions
不變隨緣,bù biàn suí yuán,Do not change yet accord with conditions,萬佛聖城宗旨,cttb_traditions
即事明理,jí shì míng lǐ,Encountering specific matters understand the principles,萬佛聖城宗旨,cttb_traditions
明理即事,míng lǐ jí shì,Understanding the principles apply them to specific matters,萬佛聖城宗旨,cttb_traditions
衣不離體,yī bù lí tǐ,Always wear precept sash,萬佛聖城宗旨,cttb_traditions
凍死不攀緣,dòng sǐ bù pān yuán,Freezing to death do not scheme,萬佛聖城宗旨,cttb_traditions
餓死不化緣,è sǐ bù huà yuán,Starving to death do not beg,萬佛聖城宗旨,cttb_traditions
窮死不求緣,qióng sǐ bù qiú yuán,Dying of poverty ask for nothing,萬佛聖城宗旨,cttb_traditions
是不是不爭,shì bù shì bù zhēng,am I not fighting?,萬佛聖城宗旨,cttb_traditions
是不是不貪,shì bù shì bù tān,am I not greedy?,萬佛聖城宗旨,cttb_traditions
是不是不求,shì bù shì bù qiú,am I not seeking?,萬佛聖城宗旨,cttb_traditions
萬佛聖城宗旨,wàn fó shèng chéng zōng zhǐ,Traditions of the City of Ten Thousand Buddhas,萬佛聖城宗旨,cttb_traditions
是不是不自私,shì bù shì bù zì sī,am I not selfish?,萬佛聖城宗旨,cttb_traditions
是不是不自利,shì bù shì bù zì lì,am I not pursuing personal advantage?,萬佛聖城宗旨,cttb_traditions
