include,chinese,pinyin,english_def,multichar,ch_tag,eng_tag
1,諸法, zhū fǎ, all dharmas,True,心經,heart_sutra
1,空相, kōng xiàng, mark of emptiness,True,心經,heart_sutra
1,不生, bù shēng, not born; do not arise,True,心經,heart_sutra
1,不滅, bù miè, no cessation; do not cease,True,心經,heart_sutra
1,不垢, bù gòu, not tainted; not defiled,True,心經,heart_sutra
1,不淨, bù jìng, not pure,True,心經,heart_sutra
1,不增, bù zēng, no increase,True,心經,heart_sutra
1,不減, bù jiǎn, no decrease,True,心經,heart_sutra
1,空中, kōng zhōng, in emptiness,True,心經,heart_sutra
1,眼界, yǎn jiè, field of the eyes,True,心經,heart_sutra
1,乃至, nǎi zhì, up to and including,True,心經,heart_sutra
1,意識, yì shí, mind consciousness,True,心經,heart_sutra
1,無明, wú míng, ignorance,True,心經,heart_sutra
1,老死, lǎo sǐ, old age and death,True,心經,heart_sutra
1,苦集滅道, kǔ jí miè dào," suffering,  accumulation,  extinction,  path",True,心經,heart_sutra
1,所得, suǒ dé, what is attained,True,心經,heart_sutra
1,菩提薩埵, pú tí sà duǒ, Bodhisattva,True,心經,heart_sutra
1,罣礙, guà ài, impediment; hindrance,True,心經,heart_sutra
1,恐怖, kǒng bù, afraid; fear,True,心經,heart_sutra
1,遠離, yuǎn lí, leave far behind; detach,True,心經,heart_sutra
1,顛倒, diān dǎo, distorted,True,心經,heart_sutra
1,夢想, mèng xiǎng, dream-thinking,True,心經,heart_sutra
1,究竟, jiū jìng, ultimately; final,True,心經,heart_sutra
1,涅槃, niè pán, Nirvana,True,心經,heart_sutra
1,三世, sān shì, three periods of time,True,心經,heart_sutra
0,諸佛, zhū fó, all Buddhas,True,心經,heart_sutra
1,阿耨多羅, ā nòu duō luó, unexcelled; unsurpassed,True,心經,heart_sutra
1,三藐三菩提, sān miǎo sān pú tí, right and perfect enlightenment,True,心經,heart_sutra
1,大神咒, dà shén zhòu, great divine mantra,True,心經,heart_sutra
0,大明咒, dà míng zhòu, great bright mantra,True,心經,heart_sutra
1,無上咒, wú shàng zhòu, unsurpassed mantra,True,心經,heart_sutra
1,無等等, wú děng děng, unequalled,True,心經,heart_sutra
1,真實, zhēn shí, true; real,True,心經,heart_sutra
1,不虛, bù xū, not false,True,心經,heart_sutra
1,是故, shì gù, therefore,True,心經,heart_sutra
1,空中, kōng zhōng, in emptiness,True,心經,heart_sutra
1,無所得, wú suǒ dé, nothing is attained,True,心經,heart_sutra
