pali,lemma,english_primary,english_secondary,sanskrit,sanskrit_root,root_meaning,pali_conf,skt_conf,eng_tag,source_line
sakkāre,sakkāra,offerings (acc. pl.),acts of veneration,satkārān,√kṛ,to do / make (with sat- 'good'),10,9,Morning Chanting,Ime sakkāre
duggata,duggata,poorly-off,one in unfortunate circumstances,durgata,√gam,to go (with dur- 'badly'),10,9,Morning Chanting,Ime sakkāre
paṇṇākāra,paṇṇākāra,gift / token offering,present,paṇyākāra?,√kṛ,to do / make (lit. 'form of merchandise/leaf'?),7,4,Morning Chanting,Ime sakkāre
bhūte,bhūta,being / having become,which are (in nature),bhūtān,√bhū,to be / become,10,10,Morning Chanting,Ime sakkāre
paṭiggaṇhātu,paṭiggaṇhāti,may (he) accept,let (him) receive (3sg. imp.),pratigṛhṇātu,√grah,to grasp / receive (with prati-),10,9,Morning Chanting,Ime sakkāre
duggata-paṇṇākāra-bhūte,—,being the gift of those of poor means,which are simple / humble offerings,durgatapaṇyākārabhūtān?,—,(compound — see components),9,5,Morning Chanting,Ime sakkāre
Ime sakkāre duggata-paṇṇākāra-bhūte paṭiggaṇhātu,—,May these simple offerings be accepted,acceptance-petition formula,—,—,—,10,—,Morning Chanting,Ime sakkāre
Amhākaṁ,amha,for us / our,belonging to us (1pl. gen.),asmākam,—,(1pl. genitive pronoun),10,10,Morning Chanting,Amhākaṁ dīgharattaṁ
dīgha,dīgha,long,extended,dīrgha,—,(adj. 'long'),10,10,Morning Chanting,Amhākaṁ dīgharattaṁ
rattaṁ,ratti,night,(here as time-unit in compound),rātrim,—,(noun 'night'),10,10,Morning Chanting,Amhākaṁ dīgharattaṁ
hitāya,hita,for the benefit,for the welfare (dat.),hitāya,√dhā,to put / place ('placed (well)' = beneficial),10,8,Morning Chanting,Amhākaṁ dīgharattaṁ
sukhāya,sukha,for the happiness,for the well-being (dat.),sukhāya,—,(noun 'happiness'; etym. possibly su- + kha 'good axle-hole'?),10,5,Morning Chanting,Amhākaṁ dīgharattaṁ
dīgharattaṁ,dīgharatta,for a long time,for a long stretch (lit. 'long-night'),dīrgharātram,—,(compound: dīrgha + rātri),10,9,Morning Chanting,Amhākaṁ dīgharattaṁ
Amhākaṁ dīgharattaṁ hitāya sukhāya,—,For our long-lasting benefit and for the happiness it gives us,benefit-and-happiness closing formula,—,—,—,10,—,Morning Chanting,Amhākaṁ dīgharattaṁ
Arahaṁ sammāsambuddho bhagavā,—,The Lord the Perfectly Enlightened and Blessed One,epithet-cluster restated as recollection,—,—,—,10,—,Morning Chanting,Arahaṁ sammāsambuddho
Buddhaṁ,buddha,Buddha (acc.),the Awakened One (object),buddham,√budh,to awaken / know,10,10,Morning Chanting,Buddhaṁ bhagavantaṁ
abhivādemi,abhivādeti,I render homage,I salute / venerate (1sg.),abhivādayāmi,√vad,to speak (caus. with abhi-: 'salute'),10,9,Morning Chanting,Buddhaṁ bhagavantaṁ
Buddhaṁ bhagavantaṁ abhivādemi,—,I render homage to the Buddha the Blessed One,first of three formal bows,—,—,—,10,—,Morning Chanting,Buddhaṁ bhagavantaṁ
Svākkhāto bhagavatā dhammo,—,The Teaching so completely explained by him,Dhamma recollection (re-stated),—,—,—,10,—,Morning Chanting,Svākkhāto bhagavatā
Dhammaṁ,dhamma,Dhamma (acc.),the Teaching (object),dharmam,√dhṛ,to hold / bear / uphold,10,10,Morning Chanting,Dhammaṁ namassāmi
namassāmi,namassati,I bow / pay homage,I revere (1sg.),namasyāmi,√nam,to bend / bow,10,9,Morning Chanting,Dhammaṁ namassāmi
Dhammaṁ namassāmi,—,I bow to the Dhamma,second of three formal bows,—,—,—,10,—,Morning Chanting,Dhammaṁ namassāmi
Supaṭipanno bhagavato sāvakasaṅgho,—,The Blessed One's disciples who have practised well,Saṅgha recollection (re-stated),—,—,—,10,—,Morning Chanting,Supaṭipanno bhagavato
Saṅghaṁ,saṅgha,Saṅgha (acc.),the community (object),saṃgham,√han,to come together (with sam-),10,7,Morning Chanting,Saṅghaṁ namāmi
namāmi,namati,I bow,I bend / pay respect (1sg.),namāmi,√nam,to bend / bow,10,10,Morning Chanting,Saṅghaṁ namāmi
Saṅghaṁ namāmi,—,I bow to the Saṅgha,third of three formal bows,—,—,—,10,—,Morning Chanting,Saṅghaṁ namāmi
Handa,handa,come now / let us,exhortative particle 'come!',hanta,—,(indeclinable exhortative),10,9,Morning Chanting,Handa mayaṁ
buddhassa,buddha,of the Buddha,Buddha's (gen.),buddhasya,√budh,to awaken / know,10,10,Morning Chanting,Handa mayaṁ
pubba,pubba,former / preceding,prior,pūrva,—,(adj. 'before / earlier'),10,10,Morning Chanting,Handa mayaṁ
bhāga,bhāga,portion / part,share,bhāga,√bhaj,to share / divide,10,10,Morning Chanting,Handa mayaṁ
namakāraṁ,namakāra,homage / bowing,act of reverence,namaskāram,√nam + √kṛ,to bend + to do (i.e. 'do a bow'),10,10,Morning Chanting,Handa mayaṁ
karomase,karoti,let us do / make,we shall do (1pl. impv.),karavāmahe,√kṛ,to do / make,10,9,Morning Chanting,Handa mayaṁ
pubbabhāga-namakāraṁ,pubbabhāga-namakāra,preliminary homage,preceding-portion-bowing,pūrvabhāganamaskāram,—,(compound — see components),10,9,Morning Chanting,Handa mayaṁ
Handa mayaṁ buddhassa bhagavato pubbabhāga-namakāraṁ karomase,—,Now let us pay preliminary homage to the Buddha,invitation-to-chant formula,—,—,—,10,—,Morning Chanting,Handa mayaṁ
Namo,nama,homage,veneration; reverence,namaḥ,√nam,to bend / bow,10,10,Morning Chanting,Namo tassa bhagavato
tassa,ta,to that one (gen./dat.),of him,tasya,—,(gen. of demonstrative ta),10,10,Morning Chanting,Namo tassa bhagavato
arahato,arahant,to the worthy one,of the arahant (gen./dat.),arhate,√arh,to be worthy / deserve,10,10,Morning Chanting,Namo tassa bhagavato
sammāsambuddhassa,sammāsambuddha,to the perfectly enlightened one,of the fully self-awakened (gen./dat.),samyaksaṃbuddhāya,√budh,to awaken / know,10,10,Morning Chanting,Namo tassa bhagavato
Namo tassa bhagavato arahato sammāsambuddhassa,—,Homage to the Blessed Noble and Perfectly Enlightened One,Namo Tassa formula (chanted 3x),—,—,—,10,—,Morning Chanting,Namo tassa bhagavato
abhitthuti,abhitthuti,praise / extolling,high praise,abhistuti,√stu,to praise (with abhi-),10,9,Morning Chanting,Handa mayaṁ buddhābhitthutiṁ
buddhābhitthutiṁ,buddhābhitthuti,praise of the Buddha,Buddha-praise (acc.),buddhābhistutim,√stu,to praise (with abhi-),10,9,Morning Chanting,Handa mayaṁ buddhābhitthutiṁ
Handa mayaṁ buddhābhitthutiṁ karomase,—,Now let us chant in praise of the Buddha,invitation-to-praise formula,—,—,—,10,—,Morning Chanting,Handa mayaṁ buddhābhitthutiṁ
tathāgato,tathāgata,Tathāgata,Thus-Come / Thus-Gone One,tathāgata,√gam or √gata,to go / come (lit. 'thus-gone' or 'thus-come'),10,9,Morning Chanting,Yo so tathāgato
Yo so tathāgato arahaṁ sammāsambuddho,—,The Tathāgata is the Pure One the Perfectly Enlightened One,opening of Buddha-praise,—,—,—,10,—,Morning Chanting,Yo so tathāgato
Vijjā,vijjā,knowledge,higher knowledge; vidyā,vidyā,√vid,to know,10,10,Morning Chanting,Vijjācaraṇa-sampanno
caraṇa,caraṇa,conduct,practice; comportment,caraṇa,√car,to move / practise / wander,10,10,Morning Chanting,Vijjācaraṇa-sampanno
sampanno,sampanna,endowed with,accomplished; complete in,saṃpanna,√pad,to fall / arrive (with sam-: 'come together'),10,9,Morning Chanting,Vijjācaraṇa-sampanno
Vijjācaraṇa-sampanno,vijjācaraṇasampanna,endowed with knowledge and conduct,perfected in wisdom and practice,vidyācaraṇasaṃpanna,—,(compound — see components),10,10,Morning Chanting,Vijjācaraṇa-sampanno
Sugato,sugata,well-gone one,fortunate one; the Accomplished,sugata,√gam,to go (with su- 'well'),10,10,Morning Chanting,Sugato
Loka,loka,world,realm; cosmos,loka,√lok,to see / behold,10,8,Morning Chanting,Lokavidū
vidū,vidū,knower,one who knows,vid,√vid,to know,10,10,Morning Chanting,Lokavidū
Lokavidū,lokavidū,knower of the world,knower of worlds,lokavid,—,(compound — see components),10,10,Morning Chanting,Lokavidū
Anuttaro,anuttara,unsurpassed,incomparable; supreme,anuttara,—,(an- 'not' + uttara 'higher'),10,10,Morning Chanting,Anuttaro purisadamma
purisa,purisa,person / man,human being,puruṣa,—,(noun 'person'),10,10,Morning Chanting,Anuttaro purisadamma
damma,damma,trainable,one to be tamed,damya,√dam,to tame / control,10,9,Morning Chanting,Anuttaro purisadamma
sārathi,sārathi,charioteer,driver / trainer,sārathi,—,(noun 'charioteer'),10,10,Morning Chanting,Anuttaro purisadamma
purisadamma-sārathi,purisadammasārathi,trainer of trainable persons,driver of those to be tamed,puruṣadamyasārathi,—,(compound — see components),10,9,Morning Chanting,Anuttaro purisadamma
Anuttaro purisadamma-sārathi,—,He trains perfectly those who wish to be trained,sixth epithet,—,—,—,10,—,Morning Chanting,Anuttaro purisadamma
Satthā,satthar,teacher,master; instructor,śāstṛ,√śās,to teach / instruct / rule,10,10,Morning Chanting,Satthā deva-manussānaṁ
deva,deva,god / deity,celestial being,deva,√div,to shine,10,9,Morning Chanting,Satthā deva-manussānaṁ
manussānaṁ,manussa,of humans,of mortals (gen. pl.),manuṣyāṇām,√man,to think (i.e. 'thinking ones'),10,9,Morning Chanting,Satthā deva-manussānaṁ
deva-manussānaṁ,devamanussa,of gods and humans,of celestials and mortals,devamanuṣyāṇām,—,(compound — see components),10,9,Morning Chanting,Satthā deva-manussānaṁ
Satthā deva-manussānaṁ,—,He is Teacher of gods and humans,seventh epithet,—,—,—,10,—,Morning Chanting,Satthā deva-manussānaṁ
Buddho,buddha,awakened one,the Buddha; one who has awakened,buddha,√budh,to awaken / know,10,10,Morning Chanting,Buddho bhagavā
Buddho bhagavā,—,He is awake and holy,eighth and ninth epithets,—,—,—,10,—,Morning Chanting,Buddho bhagavā
imaṁ,ima,this,this (acc. sg.),imam,—,(demonstrative ima),10,10,Morning Chanting,Yo imaṁ lokaṁ
lokaṁ,loka,world (acc.),cosmos,lokam,√lok,to see / behold,10,8,Morning Chanting,Yo imaṁ lokaṁ
māra,māra,Māra / death-demon,the tempter,māra,√mṛ,to die / kill,10,9,Morning Chanting,Yo imaṁ lokaṁ
brahma,brahma,brahmā / divine being,Brahmā god; the absolute,brahman,√bṛh,to grow / expand / strengthen,10,8,Morning Chanting,Yo imaṁ lokaṁ
sadevakaṁ,sadevaka,with its gods,including devas,sadevakam,—,(sa- 'with' + deva + -ka),10,10,Morning Chanting,Yo imaṁ lokaṁ
samārakaṁ,samāraka,with its Māras,with its demons,samārakam,—,(sa- 'with' + māra + -ka),10,10,Morning Chanting,Yo imaṁ lokaṁ
sabrahmakaṁ,sabrahmaka,with its brahmas,including Brahmā gods,sabrahmakam,—,(sa- 'with' + brahma + -ka),10,10,Morning Chanting,Yo imaṁ lokaṁ
Yo imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ,—,In this world with its gods demons and kind spirits,sets up the realm-of-revelation,—,—,—,10,—,Morning Chanting,Yo imaṁ lokaṁ
samaṇa,samaṇa,ascetic / contemplative,renunciant; śramaṇa,śramaṇa,√śram,to exert / strive / labour,10,10,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
brāhmaṇa,brāhmaṇa,brahmin / priest,one of the priestly class,brāhmaṇa,√bṛh,to grow / expand,10,8,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
pajaṁ,pajā,generation / progeny (acc.),offspring; populace,prajām,√jan,to be born / arise (with pra-),10,9,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
sayaṁ,sayaṁ,by oneself,independently; on his own,svayam,—,(reflexive 'oneself'),10,10,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
abhiññā,abhiññā,by direct knowledge,by higher knowledge / supernormal insight,abhijñā,√jñā,to know (with abhi-),10,9,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
sacchikatvā,sacchikaroti,having realised,having directly experienced (ger.),sākṣātkṛtvā,√kṛ,to do / make (with sākṣāt 'before the eyes'),10,8,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
pavedesi,pavedeti,he made known,he proclaimed (3sg. aor.),prāvedayat,√vid,to know (caus. with pra-: 'cause to know'),10,8,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
Sassamaṇa-brāhmaṇiṁ,sassamaṇabrāhmaṇī,with its samaṇas and brāhmaṇas,with its renunciants and priests,saśramaṇabrāhmaṇīm,—,(sa- 'with' + samaṇa + brāhmaṇa),10,9,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
sadeva-manussaṁ,sadevamanussa,with its gods and humans,including devas and mortals,sadevamanuṣyam,—,(sa- 'with' + deva + manussa),10,9,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
Sassamaṇa-brāhmaṇiṁ pajaṁ sadeva-manussaṁ sayaṁ abhiññā sacchikatvā pavedesi,—,Its seekers and sages celestial and human beings he has by deep insight revealed the Truth,awakening-and-teaching narrative,—,—,—,10,—,Morning Chanting,Sassamaṇa-brāhmaṇiṁ pajaṁ
desesi,deseti,he taught,he pointed out (3sg. aor.),adeśayat,√diś,to point / show,10,9,Morning Chanting,Yo dhammaṁ desesi
ādi,ādi,beginning,start,ādi,—,(noun 'beginning'),10,10,Morning Chanting,Yo dhammaṁ desesi
kalyāṇaṁ,kalyāṇa,beautiful / wholesome,good; admirable,kalyāṇam,—,(adj. 'lovely / good'),10,10,Morning Chanting,Yo dhammaṁ desesi
majjhe,majjha,in the middle,midway (loc.),madhye,—,(loc. of 'middle'),10,10,Morning Chanting,Yo dhammaṁ desesi
pariyosāna,pariyosāna,end / conclusion,completion,paryavasāna,√sā,to end / conclude (with pari-ava-),10,7,Morning Chanting,Yo dhammaṁ desesi
ādi-kalyāṇaṁ,ādikalyāṇa,beautiful in the beginning,good at the start,ādikalyāṇa,—,(compound — see components),10,10,Morning Chanting,Yo dhammaṁ desesi
majjhe-kalyāṇaṁ,majjhekalyāṇa,beautiful in the middle,good in the midst,madhyekalyāṇa,—,(compound — see components),10,10,Morning Chanting,Yo dhammaṁ desesi
pariyosāna-kalyāṇaṁ,pariyosānakalyāṇa,beautiful in the end,good at the conclusion,paryavasānakalyāṇa,—,(compound — see components),10,8,Morning Chanting,Yo dhammaṁ desesi
Yo dhammaṁ desesi ādi-kalyāṇaṁ majjhe-kalyāṇaṁ pariyosāna-kalyāṇaṁ,—,He has pointed out the Dhamma beautiful in the beginning beautiful in the middle beautiful in the end,threefold-beauty formula of the Dhamma,—,—,—,10,—,Morning Chanting,Yo dhammaṁ desesi
attha,attha,meaning,goal; purpose; sense,artha,—,(noun 'meaning / goal'),10,10,Morning Chanting,Sātthaṁ sabyañjanaṁ
byañjana,byañjana,letter / expression,syllable; consonant; phrasing,vyañjana,√añj,to anoint / make manifest (with vi-),10,8,Morning Chanting,Sātthaṁ sabyañjanaṁ
kevala,kevala,entire / sole,whole; absolute,kevala,—,(adj. 'whole / pure'),10,10,Morning Chanting,Sātthaṁ sabyañjanaṁ
paripuṇṇaṁ,paripuṇṇa,fully complete,entirely fulfilled,paripūrṇa,√pṝ,to fill (with pari- 'completely'),10,9,Morning Chanting,Sātthaṁ sabyañjanaṁ
parisuddhaṁ,parisuddha,wholly pure,completely purified,pariśuddha,√śudh,to be pure (with pari-),10,10,Morning Chanting,Sātthaṁ sabyañjanaṁ
cariyaṁ,cariyā,conduct / way of life,practice,caryā,√car,to move / practise / wander,10,10,Morning Chanting,Sātthaṁ sabyañjanaṁ
pakāsesi,pakāseti,he revealed,he made manifest (3sg. aor.),prakāśayat,√kāś,to shine (caus. with pra-: 'cause to shine forth'),10,9,Morning Chanting,Sātthaṁ sabyañjanaṁ
Sātthaṁ,sa-attha,with meaning,with its content / spirit,sārtham,—,(sa- 'with' + attha 'meaning'),10,9,Morning Chanting,Sātthaṁ sabyañjanaṁ
sabyañjanaṁ,sa-byañjana,with the letter,with its expression / phrasing,savyañjanam,√añj,to anoint / make manifest,10,8,Morning Chanting,Sātthaṁ sabyañjanaṁ
kevala-paripuṇṇaṁ,kevalaparipuṇṇa,entirely complete,wholly perfected,kevalaparipūrṇa,—,(compound — see components),10,9,Morning Chanting,Sātthaṁ sabyañjanaṁ
brahma-cariyaṁ,brahmacariya,holy life / spiritual life,brahma-faring; celibate practice,brahmacarya,—,(compound — see components),10,10,Morning Chanting,Sātthaṁ sabyañjanaṁ
Sātthaṁ sabyañjanaṁ kevala-paripuṇṇaṁ parisuddhaṁ brahma-cariyaṁ pakāsesi,—,He has explained the Spiritual Life of complete purity in its essence and conventions,completeness formula of the Dhamma,—,—,—,10,—,Morning Chanting,Sātthaṁ sabyañjanaṁ
ahaṁ,amha,I,I (1sg.),aham,—,(1sg. personal pronoun),10,10,Morning Chanting,Tam-ahaṁ bhagavantaṁ
abhipūjayāmi,abhipūjeti,I render homage,I worship (1sg.),abhipūjayāmi,√pūj,to honour / worship (with abhi-),10,10,Morning Chanting,Tam-ahaṁ bhagavantaṁ
sirasā,sira,with the head,by the head (instr.),śirasā,—,"(noun 'head', instr.)",10,10,Morning Chanting,Tam-ahaṁ bhagavantaṁ
Tam-ahaṁ bhagavantaṁ abhipūjayāmi tam-ahaṁ bhagavantaṁ sirasā namāmi,—,I chant my praise to the Blessed One I bow my head to the Blessed One,closing bow-and-praise to the Buddha,—,—,—,10,—,Morning Chanting,Tam-ahaṁ bhagavantaṁ
dhammābhitthutiṁ,dhammābhitthuti,praise of the Dhamma,Dhamma-praise (acc.),dharmābhistutim,√stu,to praise (with abhi-),10,9,Morning Chanting,Handa mayaṁ dhammābhitthutiṁ
Handa mayaṁ dhammābhitthutiṁ karomase,—,Now let us chant in praise of the Dhamma,invitation-to-praise (Dhamma),—,—,—,10,—,Morning Chanting,Handa mayaṁ dhammābhitthutiṁ
Yo so svākkhāto bhagavatā dhammo,—,The Dhamma is well expounded by the Blessed One,opening of Dhamma-praise,—,—,—,10,—,Morning Chanting,Yo so svākkhāto
Sandiṭṭhiko,sandiṭṭhika,apparent here and now,visible / directly seeable,sāṃdṛṣṭika,√dṛś,to see (with sam-),10,9,Morning Chanting,Sandiṭṭhiko
Akāliko,akālika,timeless,not subject to time,akālika,—,(a- 'not' + kāla 'time' + -ika),10,10,Morning Chanting,Akāliko
kāla,kāla,time,period; era,kāla,—,(noun 'time'),10,10,Morning Chanting,Akāliko
ehi,eti,come!,come here (2sg. impv.),ehi,√i,to go / come,10,10,Morning Chanting,Ehipassiko
passa,passati,see!,look (2sg. impv.),paśya,√paś,to see,10,10,Morning Chanting,Ehipassiko
Ehipassiko,ehipassika,encouraging investigation,'come-and-see-able',ehipaśyika,—,(ehi 'come!' + passa 'see!' + -ika),10,9,Morning Chanting,Ehipassiko
Opanayiko,opanayika,leading inwards,worthy of being applied / brought near,aupanayika,√nī,to lead (with upa-: 'lead near'),10,8,Morning Chanting,Opanayiko
Paccattaṁ,paccatta,individually,each for oneself; personally,pratyātmam,—,(prati- 'toward' + attan 'self'),10,9,Morning Chanting,Paccattaṁ veditabbo
veditabbo,veditabba,to be known,to be experienced (gerundive),veditavya,√vid,to know,10,10,Morning Chanting,Paccattaṁ veditabbo
viññūhi,viññū,by the wise,by those who understand (instr. pl.),vijñaiḥ,√jñā,to know (with vi-),10,9,Morning Chanting,Paccattaṁ veditabbo
Paccattaṁ veditabbo viññūhi,—,To be experienced individually by the wise,fifth quality of the Dhamma,—,—,—,10,—,Morning Chanting,Paccattaṁ veditabbo
Tam-ahaṁ dhammaṁ abhipūjayāmi tam-ahaṁ dhammaṁ sirasā namāmi,—,I chant my praise to this Teaching I bow my head to this Truth,closing bow-and-praise to the Dhamma,—,—,—,10,—,Morning Chanting,Tam-ahaṁ dhammaṁ
saṅghābhitthutiṁ,saṅghābhitthuti,praise of the Saṅgha,Saṅgha-praise (acc.),saṃghābhistutim,√stu,to praise (with abhi-),10,8,Morning Chanting,Handa mayaṁ saṅghābhitthutiṁ
Handa mayaṁ saṅghābhitthutiṁ karomase,—,Now let us chant in praise of the Saṅgha,invitation-to-praise (Saṅgha),—,—,—,10,—,Morning Chanting,Handa mayaṁ saṅghābhitthutiṁ
Yo so supaṭipanno bhagavato sāvakasaṅgho,—,They are the Blessed One's disciples who have practised well,first quality of the Saṅgha,—,—,—,10,—,Morning Chanting,Yo so supaṭipanno
uju,uju,upright / straight,direct,ṛju,—,(adj. 'straight / upright'),10,10,Morning Chanting,Ujupaṭipanno
