chinese,pinyin,english_def,ch_tag,eng_tag
本師,běn shī,Founding teacher,蒙山,meng_shan_offering
釋迦牟尼,shì jiā móu ní,Shakyamuni,蒙山,meng_shan_offering
大悲,dà bēi,Great compassion,蒙山,meng_shan_offering
觀世音,guān shì yīn,Guan Shi Yin,蒙山,meng_shan_offering
菩薩,pú sà,Bodhisattva,蒙山,meng_shan_offering
皈依,guī yī,Take refuge,蒙山,meng_shan_offering
兩足尊,liǎng zú zūn,Doubly perfect one,蒙山,meng_shan_offering
離欲尊,lí yù zūn,Honored teaching to end desire,蒙山,meng_shan_offering
眾中尊,zhòng zhōng zūn,Honored among multitudes,蒙山,meng_shan_offering
佛子,fó zǐ,Buddhists; Disciples of Buddha,蒙山,meng_shan_offering
惡業,è yè,Evil karma,蒙山,meng_shan_offering
無始,wú shǐ,Beginningless,蒙山,meng_shan_offering
貪瞋癡,tān chēn chī,Craving,蒙山, and delusion
身語意,shēn yǔ yì,Body,蒙山, and mind
懺悔,chàn huǐ,Repent,蒙山,meng_shan_offering
有情,yǒu qíng,Sentient beings,蒙山,meng_shan_offering
眾生,zhòng shēng,Sentient beings,蒙山,meng_shan_offering
無邊,wú biān,Countless; Boundless,蒙山,meng_shan_offering
誓願,shì yuàn,Vow,蒙山,meng_shan_offering
煩惱,fán nǎo,Affliction,蒙山,meng_shan_offering
無盡,wú jìn,Limitless,蒙山,meng_shan_offering
法門,fǎ mén,Dharmas; Dharma doors,蒙山,meng_shan_offering
無量,wú liàng,Boundless; Measureless,蒙山,meng_shan_offering
佛道,fó dào,Buddhahood,蒙山,meng_shan_offering
無上,wú shàng,Peerless; Unsurpassed,蒙山,meng_shan_offering
自性,zì xìng,Self-nature; Of my nature,蒙山,meng_shan_offering
定業,dìng yè,Fixed karma,蒙山,meng_shan_offering
業障,yè zhàng,Obstacles; Karmic obstacles,蒙山,meng_shan_offering
咽喉,yān hóu,Throat,蒙山,meng_shan_offering
三昧耶,sān mèi yē,Samaya,蒙山,meng_shan_offering
甘露,gān lù,Sweet dew,蒙山,meng_shan_offering
如來,rú lái,Tathagata,蒙山,meng_shan_offering
多寶,duō bǎo,Many Jewels,蒙山,meng_shan_offering
寶勝,bǎo shèng,Peerless Jewel,蒙山,meng_shan_offering
妙色身,miào sè shēn,Wondrous Form,蒙山,meng_shan_offering
廣博身,guǎng bó shēn,Vast Expansive Form,蒙山,meng_shan_offering
離怖畏,lí bù wèi,Far From Fear,蒙山,meng_shan_offering
甘露王,gān lù wáng,Sweet Dew King,蒙山,meng_shan_offering
阿彌陀,ā mí tuó,Amita,蒙山,meng_shan_offering
神咒,shén zhòu,Divine mantras,蒙山,meng_shan_offering
加持,jiā chí,Bless,蒙山,meng_shan_offering
法食,fǎ shí,Dharma-food,蒙山,meng_shan_offering
河沙,hé shā,Ganges’ sands,蒙山,meng_shan_offering
飽滿,bǎo mǎn,Content; Full,蒙山,meng_shan_offering
慳貪,qiān tān,Greed; Stinginess,蒙山,meng_shan_offering
幽冥,yōu míng,Darkness; Underworld,蒙山,meng_shan_offering
淨土,jìng tǔ,Pure land,蒙山,meng_shan_offering
三寶,sān bǎo,Three Jewels,蒙山,meng_shan_offering
菩提,pú tí,Bodhi,蒙山,meng_shan_offering
究竟,jiū jìng,Ultimately,蒙山,meng_shan_offering
功德,gōng dé,Merit and virtue,蒙山,meng_shan_offering
未來,wèi lái,For all time; Future,蒙山,meng_shan_offering
孤魂,gū hún,Lonely spirits,蒙山,meng_shan_offering
普及,pǔ jí,Pervade; Everywhere,蒙山,meng_shan_offering
三世一切佛,sān shì yī qiè fó,All the Buddhas of the three times,蒙山,meng_shan_offering
一切唯心造,yī qiè wéi xīn zào,All things are created from mind,蒙山,meng_shan_offering
眾生無邊誓願度,zhòng shēng wú biān shì yuàn dù,Countless beings I now vow to save,蒙山,meng_shan_offering
煩惱無盡誓願斷,fán nǎo wú jìn shì yuàn duàn,Limitless afflictions I now vow to end,蒙山,meng_shan_offering
法門無量誓願學,fǎ mén wú liàng shì yuàn xué,Boundless dharmas I now vow to learn,蒙山,meng_shan_offering
佛道無上誓願成,fó dào wú shàng shì yuàn chéng,Peerless Buddhahood I vow to realize,蒙山,meng_shan_offering
