chinese,pinyin,english_def,ch_tag,eng_tag
彼,bǐ,that; the other; he/that one,阿彌陀經,AmitabhaSutra
何,hé,what; how; why,阿彌陀經,AmitabhaSutra
故,gù,therefore; reason; cause; hence,阿彌陀經,AmitabhaSutra
為,wéi,to be; act as; called,阿彌陀經,AmitabhaSutra
生,shēng,to be born; arise; living,阿彌陀經,AmitabhaSutra
苦,kǔ,suffering; bitter (duḥkha),阿彌陀經,AmitabhaSutra
但,dàn,but; only; however,阿彌陀經,AmitabhaSutra
受,shòu,to receive; experience; endure,阿彌陀經,AmitabhaSutra
又,yòu,again; moreover; also,阿彌陀經,AmitabhaSutra
七,qī,seven,阿彌陀經,AmitabhaSutra
重,chóng,layer; tier; again; repeated; (also zhòng: heavy),阿彌陀經,AmitabhaSutra
欄,lán,railing; balustrade,阿彌陀經,AmitabhaSutra
楯,shǔn,balustrade-bar; railing post,阿彌陀經,AmitabhaSutra
網,wǎng,net; netting,阿彌陀經,AmitabhaSutra
行,háng,row; line; profession,阿彌陀經,AmitabhaSutra
四,sì,four,阿彌陀經,AmitabhaSutra
寶,bǎo,treasure; jewel; precious,阿彌陀經,AmitabhaSutra
帀,zā,around; encircling (rare variant of 匝),阿彌陀經,AmitabhaSutra
圍,wéi,to surround; encircle,阿彌陀經,AmitabhaSutra
繞,rào,to go around; encircle,阿彌陀經,AmitabhaSutra
八,bā,eight,阿彌陀經,AmitabhaSutra
功,gōng,merit; achievement; effort,阿彌陀經,AmitabhaSutra
德,dé,virtue; quality; power (guṇa),阿彌陀經,AmitabhaSutra
水,shuǐ,water,阿彌陀經,AmitabhaSutra
充,chōng,to fill; full,阿彌陀經,AmitabhaSutra
滿,mǎn,full; filled,阿彌陀經,AmitabhaSutra
中,zhōng,middle; among; within,阿彌陀經,AmitabhaSutra
底,dǐ,bottom; base,阿彌陀經,AmitabhaSutra
純,chún,pure; unmixed,阿彌陀經,AmitabhaSutra
以,yǐ,by means of; with; in order to (literary instrumental),阿彌陀經,AmitabhaSutra
金,jīn,gold; metal,阿彌陀經,AmitabhaSutra
沙,shā,sand,阿彌陀經,AmitabhaSutra
布,bù,to spread; cloth,阿彌陀經,AmitabhaSutra
地,dì,ground; earth; land,阿彌陀經,AmitabhaSutra
邊,biān,side; edge,阿彌陀經,AmitabhaSutra
階,jiē,stair; step,阿彌陀經,AmitabhaSutra
道,dào,way; path; Dao; doctrine,阿彌陀經,AmitabhaSutra
銀,yín,silver,阿彌陀經,AmitabhaSutra
合,hé,to join; combine; together,阿彌陀經,AmitabhaSutra
成,chéng,to complete; become; accomplish,阿彌陀經,AmitabhaSutra
上,shàng,above; upper; top,阿彌陀經,AmitabhaSutra
閣,gé,pavilion; chamber,阿彌陀經,AmitabhaSutra
亦,yì,also; too,阿彌陀經,AmitabhaSutra
赤,chì,red; crimson,阿彌陀經,AmitabhaSutra
珠,zhū,pearl; bead,阿彌陀經,AmitabhaSutra
而,ér,and; yet; thereby (literary connector),阿彌陀經,AmitabhaSutra
嚴,yán,majestic; strict; adorn,阿彌陀經,AmitabhaSutra
飾,shì,to decorate; ornament,阿彌陀經,AmitabhaSutra
之,zhī,of; possessive particle; it (literary),阿彌陀經,AmitabhaSutra
華,huā,"flower (literary, = 花)",阿彌陀經,AmitabhaSutra
車,chē,vehicle; cart,阿彌陀經,AmitabhaSutra
輪,lún,wheel,阿彌陀經,AmitabhaSutra
青,qīng,blue-green; azure,阿彌陀經,AmitabhaSutra
色,sè,color; form (rūpa),阿彌陀經,AmitabhaSutra
光,guāng,light; radiance,阿彌陀經,AmitabhaSutra
黃,huáng,yellow,阿彌陀經,AmitabhaSutra
白,bái,white,阿彌陀經,AmitabhaSutra
微,wēi,subtle; minute; slight,阿彌陀經,AmitabhaSutra
妙,miào,wonderful; subtle; marvelous,阿彌陀經,AmitabhaSutra
香,xiāng,fragrance; incense,阿彌陀經,AmitabhaSutra
潔,jié,pure; clean,阿彌陀經,AmitabhaSutra
就,jiù,to accomplish; then; just,阿彌陀經,AmitabhaSutra
莊,zhuāng,dignified; solemn; village,阿彌陀經,AmitabhaSutra
作,zuò,to do; make; act as,阿彌陀經,AmitabhaSutra
樂,yuè,music,阿彌陀經,AmitabhaSutra
晝,zhòu,daytime,阿彌陀經,AmitabhaSutra
夜,yè,night,阿彌陀經,AmitabhaSutra
六,liù,six,阿彌陀經,AmitabhaSutra
雨,yǔ,rain; to rain (down),阿彌陀經,AmitabhaSutra
清,qīng,clear; pure; clean,阿彌陀經,AmitabhaSutra
旦,dàn,dawn; morning,阿彌陀經,AmitabhaSutra
各,gè,each; every,阿彌陀經,AmitabhaSutra
衣,yī,clothing; robe,阿彌陀經,AmitabhaSutra
裓,gé,garment fold (used as a sack/bag here),阿彌陀經,AmitabhaSutra
盛,chéng,to fill; hold (in a vessel); (also shèng: flourishing),阿彌陀經,AmitabhaSutra
供,gòng,to offer; provide,阿彌陀經,AmitabhaSutra
養,yǎng,to nourish; support,阿彌陀經,AmitabhaSutra
他,tā,other; he,阿彌陀經,AmitabhaSutra
即,jí,then; immediately; namely,阿彌陀經,AmitabhaSutra
食,shí,food; to eat,阿彌陀經,AmitabhaSutra
還,huán,to return,阿彌陀經,AmitabhaSutra
到,dào,to arrive; reach,阿彌陀經,AmitabhaSutra
本,běn,root; origin; one's own,阿彌陀經,AmitabhaSutra
飯,fàn,cooked rice; meal,阿彌陀經,AmitabhaSutra
行,xíng,to walk; act; conduct (carya),阿彌陀經,AmitabhaSutra
復,fù,again; repeat; restore,阿彌陀經,AmitabhaSutra
次,cì,next; order; sequence,阿彌陀經,AmitabhaSutra
種,zhǒng,kind; type; seed,阿彌陀經,AmitabhaSutra
奇,qí,strange; rare; remarkable,阿彌陀經,AmitabhaSutra
雜,zá,mixed; varicolored; miscellaneous,阿彌陀經,AmitabhaSutra
鳥,niǎo,bird,阿彌陀經,AmitabhaSutra
鶴,hè,crane (bird),阿彌陀經,AmitabhaSutra
孔,kǒng,hole; opening; (in 孔雀: peacock),阿彌陀經,AmitabhaSutra
雀,què,sparrow; small bird,阿彌陀經,AmitabhaSutra
鸚,yīng,parrot (1st char of 鸚鵡),阿彌陀經,AmitabhaSutra
鵡,wǔ,parrot (2nd char of 鸚鵡),阿彌陀經,AmitabhaSutra
共,gòng,together; share; jointly,阿彌陀經,AmitabhaSutra
命,mìng,life; mandate; destiny,阿彌陀經,AmitabhaSutra
出,chū,to come out; emit; produce,阿彌陀經,AmitabhaSutra
和,hé,harmonious; and; peace,阿彌陀經,AmitabhaSutra
雅,yǎ,elegant; refined,阿彌陀經,AmitabhaSutra
音,yīn,sound; tone,阿彌陀經,AmitabhaSutra
演,yǎn,to expound; perform; develop,阿彌陀經,AmitabhaSutra
暢,chàng,free-flowing; smooth; expansive,阿彌陀經,AmitabhaSutra
根,gēn,root; faculty (indriya),阿彌陀經,AmitabhaSutra
力,lì,power; strength (bala),阿彌陀經,AmitabhaSutra
分,fēn,share; portion; to divide,阿彌陀經,AmitabhaSutra
聖,shèng,sage; holy; sagely (ārya),阿彌陀經,AmitabhaSutra
已,yǐ,already; aspect-marker (perfective); cease,阿彌陀經,AmitabhaSutra
悉,xī,all; entirely; know,阿彌陀經,AmitabhaSutra
念,niàn,to be mindful of; recite; thought,阿彌陀經,AmitabhaSutra
汝,rǔ,you (literary),阿彌陀經,AmitabhaSutra
勿,wù,do not (prohibitive),阿彌陀經,AmitabhaSutra
謂,wèi,to say; call; mean,阿彌陀經,AmitabhaSutra
此,cǐ,this,阿彌陀經,AmitabhaSutra
實,shí,real; truly; substance,阿彌陀經,AmitabhaSutra
罪,zuì,offense; sin; crime,阿彌陀經,AmitabhaSutra
報,bào,retribution; to repay; report,阿彌陀經,AmitabhaSutra
者,zhě,nominalizer; the one who,阿彌陀經,AmitabhaSutra
三,sān,three,阿彌陀經,AmitabhaSutra
惡,è,evil; bad,阿彌陀經,AmitabhaSutra
尚,shàng,still; yet; even,阿彌陀經,AmitabhaSutra
況,kuàng,how much more; situation,阿彌陀經,AmitabhaSutra
欲,yù,to desire; wish; will,阿彌陀經,AmitabhaSutra
令,lìng,to cause; make; command,阿彌陀經,AmitabhaSutra
宣,xuān,to proclaim; declare,阿彌陀經,AmitabhaSutra
流,liú,to flow; circulate,阿彌陀經,AmitabhaSutra
變,biàn,to change; transform,阿彌陀經,AmitabhaSutra
化,huà,to transform; change,阿彌陀經,AmitabhaSutra
風,fēng,wind,阿彌陀經,AmitabhaSutra
吹,chuī,to blow,阿彌陀經,AmitabhaSutra
動,dòng,to move; stir,阿彌陀經,AmitabhaSutra
譬,pì,to liken; for example,阿彌陀經,AmitabhaSutra
同,tóng,same; together,阿彌陀經,AmitabhaSutra
自,zì,self; from,阿彌陀經,AmitabhaSutra
然,rán,so; thus; -ly (adverbializer),阿彌陀經,AmitabhaSutra
心,xīn,heart; mind; citta,阿彌陀經,AmitabhaSutra
於,yú,at; in; to (literary preposition),阿彌陀經,AmitabhaSutra
意,yì,intention; thought; meaning (manas),阿彌陀經,AmitabhaSutra
云,yún,to say; thus (literary),阿彌陀經,AmitabhaSutra
明,míng,bright; clear; brightness,阿彌陀經,AmitabhaSutra
照,zhào,to illumine; shine on,阿彌陀經,AmitabhaSutra
障,zhàng,to obstruct; obstacle,阿彌陀經,AmitabhaSutra
礙,ài,to hinder; obstruct,阿彌陀經,AmitabhaSutra
壽,shòu,longevity; lifespan,阿彌陀經,AmitabhaSutra
民,mín,people; populace,阿彌陀經,AmitabhaSutra
來,lái,to come; since (after time),阿彌陀經,AmitabhaSutra
聲,shēng,"sound; voice (also in 聲聞 = śrāvaka, sound-hearer)",阿彌陀經,AmitabhaSutra
非,fēi,not; non-; wrong,阿彌陀經,AmitabhaSutra
算,suàn,to count; calculate,阿彌陀經,AmitabhaSutra
數,shù,number; to count,阿彌陀經,AmitabhaSutra
能,néng,can; able; capability,阿彌陀經,AmitabhaSutra
補,bǔ,to supplement; replenish; mend,阿彌陀經,AmitabhaSutra
處,chù,place; position,阿彌陀經,AmitabhaSutra
甚,shèn,very; extremely; what,阿彌陀經,AmitabhaSutra
可,kě,can; may; permissible,阿彌陀經,AmitabhaSutra
應,yīng,should; ought to,阿彌陀經,AmitabhaSutra
當,dāng,ought; should; at; just then,阿彌陀經,AmitabhaSutra
發,fā,to issue forth; arouse; emit,阿彌陀經,AmitabhaSutra
願,yuàn,vow; wish; aspire,阿彌陀經,AmitabhaSutra
得,dé,to obtain; attain,阿彌陀經,AmitabhaSutra
善,shàn,good; wholesome; skilled,阿彌陀經,AmitabhaSutra
不,bù,not; no,阿彌陀經,AmitabhaSutra
少,shǎo,few; little,阿彌陀經,AmitabhaSutra
福,fú,blessing; good fortune; merit,阿彌陀經,AmitabhaSutra
緣,yuán,condition; affinity; cause (pratyaya),阿彌陀經,AmitabhaSutra
若,ruò,if; like; thus (literary),阿彌陀經,AmitabhaSutra
男,nán,male; man,阿彌陀經,AmitabhaSutra
女,nǚ,female; woman,阿彌陀經,AmitabhaSutra
執,zhí,to grasp; uphold,阿彌陀經,AmitabhaSutra
持,chí,to hold; maintain; uphold,阿彌陀經,AmitabhaSutra
日,rì,day; sun,阿彌陀經,AmitabhaSutra
亂,luàn,disordered; confused; chaos,阿彌陀經,AmitabhaSutra
臨,lín,to approach; face; near,阿彌陀經,AmitabhaSutra
終,zhōng,end; finish; ultimately,阿彌陀經,AmitabhaSutra
前,qián,before; in front,阿彌陀經,AmitabhaSutra
顛,diān,topple; inverted; top,阿彌陀經,AmitabhaSutra
倒,dǎo,to fall; inverted; reversed,阿彌陀經,AmitabhaSutra
往,wǎng,to go; toward,阿彌陀經,AmitabhaSutra
見,jiàn,to see; view; opinion,阿彌陀經,AmitabhaSutra
言,yán,words; speech; to say,阿彌陀經,AmitabhaSutra
讚,zàn,to praise; eulogize,阿彌陀經,AmitabhaSutra
歎,tàn,to sigh; exclaim; praise,阿彌陀經,AmitabhaSutra
思,sī,to think; ponder,阿彌陀經,AmitabhaSutra
議,yì,to discuss; deliberate,阿彌陀經,AmitabhaSutra
東,dōng,east,阿彌陀經,AmitabhaSutra
相,xiàng,appearance; mark; characteristic (lakṣaṇa),阿彌陀經,AmitabhaSutra
恒,héng,constant; permanent (also in 恒河 = Ganges),阿彌陀經,AmitabhaSutra
河,hé,river (also: Ganges 恒河 = héng-hé),阿彌陀經,AmitabhaSutra
廣,guǎng,broad; vast; extensive,阿彌陀經,AmitabhaSutra
長,cháng,long; long-lasting; constant,阿彌陀經,AmitabhaSutra
舌,shé,tongue,阿彌陀經,AmitabhaSutra
遍,biàn,everywhere; throughout; all over,阿彌陀經,AmitabhaSutra
覆,fù,to cover; overspread,阿彌陀經,AmitabhaSutra
誠,chéng,sincere; truly,阿彌陀經,AmitabhaSutra
信,xìn,to believe; trust; faith (śraddhā),阿彌陀經,AmitabhaSutra
稱,chēng,to call; praise; weigh,阿彌陀經,AmitabhaSutra
切,qiè,all; cut (in 一切 = all/every),阿彌陀經,AmitabhaSutra
護,hù,to protect; guard,阿彌陀經,AmitabhaSutra
南,nán,south,阿彌陀經,AmitabhaSutra
月,yuè,moon; month,阿彌陀經,AmitabhaSutra
燈,dēng,lamp; light,阿彌陀經,AmitabhaSutra
焰,yàn,flame; blaze,阿彌陀經,AmitabhaSutra
肩,jiān,shoulder,阿彌陀經,AmitabhaSutra
幢,chuáng,banner; curtain; flagpole (dhvaja),阿彌陀經,AmitabhaSutra
淨,jìng,pure; clean,阿彌陀經,AmitabhaSutra
北,běi,north,阿彌陀經,AmitabhaSutra
最,zuì,most; superlative marker,阿彌陀經,AmitabhaSutra
勝,shèng,victorious; surpass; supreme,阿彌陀經,AmitabhaSutra
沮,jǔ,to dampen; injure; thwart,阿彌陀經,AmitabhaSutra
下,xià,below; under; descend,阿彌陀經,AmitabhaSutra
宿,sù,to lodge; stars/lunar mansion (here: stars),阿彌陀經,AmitabhaSutra
身,shēn,body,阿彌陀經,AmitabhaSutra
義,yì,meaning; righteousness; principle (artha),阿彌陀經,AmitabhaSutra
山,shān,mountain,阿彌陀經,AmitabhaSutra
退,tuì,to retreat; withdraw,阿彌陀經,AmitabhaSutra
轉,zhuǎn,to turn; revolve,阿彌陀經,AmitabhaSutra
語,yǔ,speech; language; word,阿彌陀經,AmitabhaSutra
希,xī,rare; to hope,阿彌陀經,AmitabhaSutra
事,shì,matter; affair; deed,阿彌陀經,AmitabhaSutra
濁,zhuó,turbid; muddy; defilement,阿彌陀經,AmitabhaSutra
煩,fán,vexation; troubled; busy,阿彌陀經,AmitabhaSutra
惱,nǎo,affliction; vexation; angered,阿彌陀經,AmitabhaSutra
為,wèi,for; for the sake of,阿彌陀經,AmitabhaSutra
間,jiān,between; among; space; interval,阿彌陀經,AmitabhaSutra
歡,huān,joyful; delighted,阿彌陀經,AmitabhaSutra
喜,xǐ,joy; happy; delight,阿彌陀經,AmitabhaSutra
禮,lǐ,rite; ritual; bow; courtesy,阿彌陀經,AmitabhaSutra
去,qù,to go; depart; remove,阿彌陀經,AmitabhaSutra
南無,ná mó,"Namo / homage to (devotional invocation, from Skt. namaḥ)",阿彌陀經,AmitabhaSutra
蓮池,lián chí,lotus pool,阿彌陀經,AmitabhaSutra
海會,hǎi huì,vast assembly (lit. ocean-gathering),阿彌陀經,AmitabhaSutra
佛說,fó shuō,the Buddha speaks / spoken by the Buddha (sutra opening),阿彌陀經,AmitabhaSutra
如是,rú shì,thus; like this,阿彌陀經,AmitabhaSutra
一時,yī shí,at one time,阿彌陀經,AmitabhaSutra
長老,zhǎng lǎo,elder; senior one,阿彌陀經,AmitabhaSutra
舍利,shè lì,śarī bird (a kind of egret/songbird); also 'relic',阿彌陀經,AmitabhaSutra
難陀,nán tuó,Nanda (great disciple),阿彌陀經,AmitabhaSutra
弟子,dì zǐ,disciple; student,阿彌陀經,AmitabhaSutra
法王,fǎ wáng,Dharma King (the Buddha),阿彌陀經,AmitabhaSutra
精進,jīng jìn,vigor; diligent effort (vīrya),阿彌陀經,AmitabhaSutra
無量,wú liàng,measureless; immeasurable (Skt. amita / aprameya),阿彌陀經,AmitabhaSutra
諸天,zhū tiān,all the heavens / devas,阿彌陀經,AmitabhaSutra
大眾,dà zhòng,great assembly; multitude,阿彌陀經,AmitabhaSutra
爾時,ěr shí,at that time (sutra discourse marker),阿彌陀經,AmitabhaSutra
西方,xī fāng,the West; western direction,阿彌陀經,AmitabhaSutra
佛土,fó dù,Buddhaland; buddha-field,阿彌陀經,AmitabhaSutra
世界,shì jiè,world; world-system,阿彌陀經,AmitabhaSutra
極樂,jí lè,"Ultimate Bliss (Sukhāvatī, the Pure Land)",阿彌陀經,AmitabhaSutra
現在,xiàn zài,at present; right now; presently existing,阿彌陀經,AmitabhaSutra
說法,shuō fǎ,to teach the Dharma; expound the teaching,阿彌陀經,AmitabhaSutra
彼土,bǐ dù,that land (the Pure Land),阿彌陀經,AmitabhaSutra
何故,hé gù,for what reason; why,阿彌陀經,AmitabhaSutra
眾生,zhòng shēng,living beings; sentient beings (sattva),阿彌陀經,AmitabhaSutra
諸樂,zhū lè,every (kind of) bliss,阿彌陀經,AmitabhaSutra
國土,guó dù,land; country; territory,阿彌陀經,AmitabhaSutra
七重,qī chóng,seven tiers / seven layers,阿彌陀經,AmitabhaSutra
欄楯,lán shǔn,railings; balustrade,阿彌陀經,AmitabhaSutra
羅網,luó wǎng,netting; net of jewels,阿彌陀經,AmitabhaSutra
行樹,háng shù,rows of trees,阿彌陀經,AmitabhaSutra
四寶,sì bǎo,"the four treasures (gold, silver, lapis, crystal)",阿彌陀經,AmitabhaSutra
圍繞,wéi rào,to surround; encircle,阿彌陀經,AmitabhaSutra
七寶,qī bǎo,the seven treasures/jewels,阿彌陀經,AmitabhaSutra
功德,gōng dé,merit and virtue (puṇya),阿彌陀經,AmitabhaSutra
充滿,chōng mǎn,filled; brimming,阿彌陀經,AmitabhaSutra
金沙,jīn shā,golden sand,阿彌陀經,AmitabhaSutra
金銀,jīn yín,gold and silver,阿彌陀經,AmitabhaSutra
樓閣,lóu gé,raised pavilion; storied building,阿彌陀經,AmitabhaSutra
蓮華,lián huā,lotus flower,阿彌陀經,AmitabhaSutra
車輪,chē lún,carriage wheel,阿彌陀經,AmitabhaSutra
微妙,wēi miào,subtle and wonderful,阿彌陀經,AmitabhaSutra
成就,chéng jiù,to accomplish; perfect realization,阿彌陀經,AmitabhaSutra
莊嚴,zhuāng yán,adornment; majestic dignity,阿彌陀經,AmitabhaSutra
彼佛,bǐ fó,that Buddha (i.e. Amitabha),阿彌陀經,AmitabhaSutra
天樂,tiān yuè,heavenly music,阿彌陀經,AmitabhaSutra
黃金,huáng jīn,yellow gold,阿彌陀經,AmitabhaSutra
晝夜,zhòu yè,day and night,阿彌陀經,AmitabhaSutra
六時,liù shí,six periods (of the day),阿彌陀經,AmitabhaSutra
清旦,qīng dàn,the clear morning,阿彌陀經,AmitabhaSutra
供養,gòng yǎng,to make offerings; worship by offering,阿彌陀經,AmitabhaSutra
他方,tā fāng,other directions; other regions,阿彌陀經,AmitabhaSutra
飯食,fàn shí,to eat a meal; mealtime,阿彌陀經,AmitabhaSutra
經行,jīng xíng,walking meditation; strolling about,阿彌陀經,AmitabhaSutra
復次,fù cì,moreover; furthermore (discourse marker),阿彌陀經,AmitabhaSutra
奇妙,qí miào,rare and wonderful,阿彌陀經,AmitabhaSutra
雜色,zá sè,varicolored; many-colored,阿彌陀經,AmitabhaSutra
白鶴,bái hè,white crane,阿彌陀經,AmitabhaSutra
孔雀,kǒng què,peacock,阿彌陀經,AmitabhaSutra
鸚鵡,yīng wǔ,parrot,阿彌陀經,AmitabhaSutra
共命,gòng mìng,"two-headed bird (jīvajīva, sharing one life)",阿彌陀經,AmitabhaSutra
和雅,hé yǎ,harmonious and elegant,阿彌陀經,AmitabhaSutra
演暢,yǎn chàng,to proclaim clearly; expound joyfully,阿彌陀經,AmitabhaSutra
五根,wǔ gēn,the five (spiritual) roots/faculties,阿彌陀經,AmitabhaSutra
五力,wǔ lì,the five (spiritual) powers,阿彌陀經,AmitabhaSutra
聖道,shèng dào,sagely way; noble path,阿彌陀經,AmitabhaSutra
念佛,niàn fó,mindfulness of the Buddha; recitation of Buddha-name,阿彌陀經,AmitabhaSutra
念法,niàn fǎ,mindfulness of the Dharma,阿彌陀經,AmitabhaSutra
念僧,niàn sēng,mindfulness of the Sangha,阿彌陀經,AmitabhaSutra
罪報,zuì bào,retribution for offenses; karmic retribution,阿彌陀經,AmitabhaSutra
惡道,è dào,evil path/destiny (of rebirth),阿彌陀經,AmitabhaSutra
法音,fǎ yīn,Dharma sound; sound of the teaching,阿彌陀經,AmitabhaSutra
變化,biàn huà,transformation; magical creation,阿彌陀經,AmitabhaSutra
微風,wēi fēng,soft wind; gentle breeze,阿彌陀經,AmitabhaSutra
吹動,chuī dòng,blow and stir; set in motion,阿彌陀經,AmitabhaSutra
妙音,miào yīn,wonderful sound,阿彌陀經,AmitabhaSutra
百千,bǎi qiān,hundred thousand; vast number,阿彌陀經,AmitabhaSutra
同時,tóng shí,at the same time,阿彌陀經,AmitabhaSutra
自然,zì rán,naturally; spontaneously; of itself,阿彌陀經,AmitabhaSutra
光明,guāng míng,light; brilliance,阿彌陀經,AmitabhaSutra
十方,shí fāng,the ten directions,阿彌陀經,AmitabhaSutra
障礙,zhàng ài,obstruction; hindrance,阿彌陀經,AmitabhaSutra
壽命,shòu mìng,lifespan; life-duration,阿彌陀經,AmitabhaSutra
人民,rén mín,people; populace,阿彌陀經,AmitabhaSutra
無邊,wú biān,limitless; boundless,阿彌陀經,AmitabhaSutra
成佛,chéng fó,to attain Buddhahood; realize Buddhahood,阿彌陀經,AmitabhaSutra
以來,yǐ lái,since; ever since (a point in time),阿彌陀經,AmitabhaSutra
十劫,shí jié,ten kalpas,阿彌陀經,AmitabhaSutra
聲聞,shēng wén,śrāvaka; sound-hearer disciple,阿彌陀經,AmitabhaSutra
算數,suàn shù,calculation; reckoning; numbers,阿彌陀經,AmitabhaSutra
發願,fā yuàn,to make a vow; arouse the resolve,阿彌陀經,AmitabhaSutra
善根,shàn gēn,good roots (kuśala-mūla); wholesome roots,阿彌陀經,AmitabhaSutra
福德,fú dé,blessings and virtue; merit,阿彌陀經,AmitabhaSutra
因緣,yīn yuán,causes and conditions (hetu-pratyaya),阿彌陀經,AmitabhaSutra
執持,zhí chí,to hold firmly; uphold,阿彌陀經,AmitabhaSutra
名號,míng hào,name and title; the (Buddha's) name,阿彌陀經,AmitabhaSutra
一心,yī xīn,one-pointed mind; single-minded,阿彌陀經,AmitabhaSutra
不亂,bù luàn,without confusion; undisturbed,阿彌陀經,AmitabhaSutra
命終,mìng zhōng,the end of life; death,阿彌陀經,AmitabhaSutra
